Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.1323529411764706,0.43093045411241665,0.23616236162361623,0.5845029239766082,0.04716285924834193,3420,0
race,African-American,0.1305655836341757,0.44585004628201175,0.2332155477031802,0.5712258796821793,0.045674740484429065,3524,1
race,African-American,0.11402985074626866,0.4757935235652453,0.24803149606299213,0.5413578416839608,0.04245283018867924,3373,2
race,African-American,0.11806451612903225,0.44068343004513216,0.32967032967032966,0.5682962962962963,0.06583760058522312,3375,3
race,African-American,0.13038130381303814,0.442151344590369,0.22344322344322345,0.575050417747047,0.04314002828854314,3471,4
race,Asian,0.0,0.5454545454545454,1.0,0.4444444444444444,0.041666666666666664,45,0
race,Asian,0.11627906976744186,0.6129032258064516,0.16666666666666666,0.4264705882352941,0.02631578947368421,68,1
race,Asian,0.09523809523809523,0.5,0.0,0.525,0.0,40,2
race,Asian,0.07407407407407407,0.5102040816326531,0.0,0.5098039215686274,0.0,51,3
race,Asian,0.043478260869565216,0.6111111111111112,0.5,0.39473684210526316,0.045454545454545456,38,4
race,Caucasian,0.16103710751665082,0.517686775282548,0.2435754189944134,0.5141411520498184,0.06180890275021265,15416,0
race,Caucasian,0.15689288247812722,0.5265450786384109,0.24645088018171493,0.505684788290643,0.060861029308652365,15304,1
race,Caucasian,0.15594982483896486,0.5476609473529843,0.22775601566871853,0.4894003241491086,0.054491899852724596,15425,2
race,Caucasian,0.15360355098703424,0.5311927278058793,0.254957507082153,0.5004543684278853,0.06210322936792713,15406,3
race,Caucasian,0.1567172965971977,0.5271603120859708,0.25266704098820886,0.5046528274874732,0.06283161128176487,15367,4
race,Indian,0.0,0.38461538461538464,,0.6153846153846154,0.0,13,0
race,Indian,0.0,0.5,,0.5,0.0,14,1
race,Indian,0.125,0.3888888888888889,0.0,0.631578947368421,0.0,19,2
race,Indian,0.06666666666666667,0.6666666666666666,0.0,0.36363636363636365,0.0,22,3
race,Indian,0.0,0.36363636363636365,,0.6363636363636364,0.0,11,4
race,Other,0.05263157894736842,0.2980132450331126,0.16666666666666666,0.7045454545454546,0.011111111111111112,308,0
race,Other,0.10344827586206896,0.27956989247311825,0.3076923076923077,0.7191780821917808,0.05128205128205128,292,1
race,Other,0.07476635514018691,0.29376854599406527,0.0,0.7130434782608696,0.0,345,2
race,Other,0.07547169811320754,0.28994082840236685,0.2,0.7126436781609196,0.02040816326530612,348,3
race,Other,0.043478260869565216,0.35714285714285715,0.2857142857142857,0.6444444444444445,0.01818181818181818,315,4
sex,female,0.15963687150837988,0.5079780498100465,0.23340040241448692,0.5227204559088182,0.05783613096227356,13336,0
sex,female,0.1537836740219304,0.5241049719124675,0.23553162853297444,0.507865503615895,0.055991041433370664,13413,1
sex,female,0.14862895747781163,0.5400840336134454,0.23308270676691728,0.4935269026416224,0.053057414034541776,13363,2
sex,female,0.15210312075983717,0.5257888094236433,0.26298487836949375,0.5040280471430703,0.06401024163866219,13406,3
sex,female,0.15366784837742023,0.521991422083929,0.2451440053583389,0.5088912133891214,0.05896568390526825,13384,4
sex,male,0.14407356948228883,0.4751370769521649,0.2668977469670711,0.545346062052506,0.06128133704735376,5866,0
sex,male,0.1470383275261324,0.4696853415195702,0.268630849220104,0.5503541198825358,0.06331699346405228,5789,1
sex,male,0.1478624236579878,0.5049523809523809,0.21901528013582344,0.5238910772392533,0.04866088268577895,5839,2
sex,male,0.1343025268258913,0.47493353589061904,0.2679245283018868,0.5439958592132506,0.05677728908436625,5796,3
sex,male,0.1441749231294841,0.4773246951219512,0.2596491228070175,0.5440013750429701,0.05908183632734531,5818,4
