Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6046511627906976,0.017983074753173484,0.8841010401188707,0.8159019663721858,11.666666666666666,3509,0
race,African-American,0.551948051948052,0.025311812179016874,0.8714069591527988,0.8095659875996457,8.347826086956522,3387,1
race,African-American,0.5586592178770949,0.029001468428781204,0.8542274052478134,0.8049853372434017,7.417721518987341,3410,2
race,African-American,0.5191256830601093,0.03203494721514379,0.8604992657856094,0.8033838973162194,6.659090909090909,3428,3
race,African-American,0.5555555555555556,0.03182640144665461,0.8343373493975904,0.8127734033245845,6.295454545454546,3429,4
race,Asian,,0.0,1.0,0.9347826086956522,inf,46,0
race,Asian,,0.0,1.0,0.9545454545454546,inf,44,1
race,Asian,1.0,0.0,0.5,0.96,inf,50,2
race,Asian,0.0,0.045454545454545456,1.0,0.9130434782608695,1.0,46,3
race,Asian,1.0,0.0,0.75,0.9464285714285714,inf,56,4
race,Caucasian,0.5819209039548022,0.01795535425428664,0.8952187182095626,0.8130999804088029,11.891891891891891,15313,0
race,Caucasian,0.5066225165562914,0.023665819567979668,0.8931564245810056,0.8152173913043478,8.583892617449665,15456,1
race,Caucasian,0.5083459787556904,0.025969862135299775,0.8845623707787733,0.8120041617895695,7.922839506172839,15378,2
race,Caucasian,0.49725274725274726,0.02915173237753883,0.8714488636363636,0.8165376358076898,6.704918032786885,15371,3
race,Caucasian,0.54177545691906,0.028183716075156576,0.8591310251188051,0.8128571428571428,7.210826210826211,15400,4
race,Indian,,0.0,1.0,0.9473684210526315,inf,19,0
race,Indian,,0.0,1.0,0.9333333333333333,inf,15,1
race,Indian,,0.0,1.0,0.8947368421052632,inf,19,2
race,Indian,,0.0,1.0,0.9333333333333333,inf,15,3
race,Indian,,0.0,,1.0,,11,4
race,Other,0.3333333333333333,0.006896551724137931,0.96,0.9174603174603174,12.0,315,0
race,Other,1.0,0.0,0.9375,0.9,inf,300,1
race,Other,1.0,0.0,0.8857142857142857,0.9101449275362319,inf,345,2
race,Other,1.0,0.0,0.9411764705882353,0.9064327485380117,inf,342,3
race,Other,0.3333333333333333,0.006968641114982578,0.9473684210526315,0.934640522875817,9.0,306,4
sex,female,0.5929752066115702,0.018464710844502765,0.8931496649292628,0.8056158742044178,12.17766497461929,13355,0
sex,female,0.5194085027726433,0.02397639247510144,0.8916730917501927,0.8085280547700551,8.896153846153846,13438,1
sex,female,0.5426731078904992,0.02666416298939067,0.8767373811265545,0.7997011580127008,8.440140845070422,13385,2
sex,female,0.5186846038863976,0.030096270679502758,0.8692046739540144,0.8031755542240863,7.161490683229814,13352,3
sex,female,0.5644699140401146,0.02830540037243948,0.8503039513677811,0.8099012862698175,7.3618421052631575,13372,4
sex,male,0.5642458100558659,0.015977058582548137,0.8953367875647669,0.8388917393535146,11.076923076923077,5847,0
sex,male,0.5114155251141552,0.022300958732805336,0.8840579710144928,0.8332755031228314,7.981308411214953,5764,1
sex,male,0.4663677130044843,0.024177163754571313,0.8837988826815643,0.8435619735258725,6.647058823529412,5817,2
sex,male,0.45528455284552843,0.026967196619038035,0.8728717366628831,0.8456410256410256,5.7388059701492535,5850,3
sex,male,0.4925925925925926,0.02837026299440878,0.8671328671328671,0.8276157804459692,6.335766423357664,5830,4
