Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6065573770491803,0.008692502716407098,0.9438543247344461,0.8111111111111111,25.916666666666668,3420,0
race,African-American,0.6162790697674418,0.01168141592920354,0.9241773962804005,0.8073212258796821,19.575757575757574,3524,1
race,African-American,0.6,0.010944910616563297,0.9287974683544303,0.8170767862437,19.566666666666666,3373,2
race,African-American,0.5116279069767442,0.015469613259668509,0.9333333333333333,0.805037037037037,14.666666666666666,3375,3
race,African-American,0.5542168674698795,0.013425253991291727,0.9356643356643357,0.7966004033419763,18.08108108108108,3471,4
race,Asian,0.0,0.023809523809523808,1.0,0.9111111111111111,3.0,45,0
race,Asian,0.5,0.015384615384615385,0.6666666666666666,0.9558823529411765,2.0,68,1
race,Asian,0.0,0.02631578947368421,1.0,0.925,2.0,40,2
race,Asian,,0.0,1.0,0.9019607843137255,inf,51,3
race,Asian,,0.0,1.0,0.9473684210526315,inf,38,4
race,Caucasian,0.5311778290993071,0.016258209194297612,0.9215017064846417,0.8116891541255838,13.300492610837438,15416,0
race,Caucasian,0.5495283018867925,0.015368522690698423,0.9189847009735744,0.8148196549921589,13.837696335078535,15304,1
race,Caucasian,0.5388127853881278,0.016131608369270085,0.9187047881501894,0.8140032414910859,13.202970297029703,15425,2
race,Caucasian,0.5307125307125307,0.015221549250876635,0.9244226731980406,0.8161106062573024,13.832460732984293,15406,3
race,Caucasian,0.5547619047619048,0.015011640041743598,0.9199312714776632,0.8136266024598164,14.315508021390375,15367,4
race,Indian,,0.0,,1.0,,13,0
race,Indian,,0.0,1.0,0.9285714285714286,inf,14,1
race,Indian,,0.0,1.0,0.9473684210526315,inf,19,2
race,Indian,0.0,0.05263157894736842,1.0,0.8181818181818182,3.0,22,3
race,Indian,,0.0,,1.0,,11,4
race,Other,,0.0,1.0,0.9123376623376623,inf,308,0
race,Other,0.6666666666666666,0.0037593984962406013,0.9230769230769231,0.9143835616438356,24.0,292,1
race,Other,0.8,0.0033444816053511705,0.9130434782608695,0.8753623188405797,42.0,345,2
race,Other,0.0,0.003076923076923077,1.0,0.9310344827586207,23.0,348,3
race,Other,0.0,0.00684931506849315,1.0,0.9206349206349206,11.5,315,4
sex,female,0.5530085959885387,0.014569907537125245,0.9265880562951693,0.8056388722255549,15.615384615384615,13336,0
sex,female,0.5978552278820375,0.014009526478005043,0.9175905395417591,0.8036979050175204,16.553333333333335,13413,1
sex,female,0.5495750708215298,0.01474406528189911,0.9247770453664211,0.809623587517773,15.0,13363,2
sex,female,0.5637393767705382,0.014325581395348837,0.9250753012048193,0.8052364612859914,15.954545454545455,13406,3
sex,female,0.5769230769230769,0.01342092914124824,0.9285452546720411,0.7999850567842199,17.72027972027972,13384,4
sex,male,0.5068493150684932,0.014766201804757998,0.9252525252525252,0.8315717695192636,12.722222222222221,5866,0
sex,male,0.4647887323943662,0.015541922290388548,0.9265850945494994,0.8429780618414234,10.960526315789474,5789,1
sex,male,0.5481927710843374,0.01551510136532892,0.909452736318408,0.8306216817948279,12.186666666666667,5839,2
sex,male,0.4295774647887324,0.016520497654497247,0.9316909294512878,0.8424775707384403,10.271604938271604,5796,3
sex,male,0.5029940119760479,0.01694915254237288,0.9087947882736156,0.8418700584393263,10.08433734939759,5818,4
