Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.7225609756097561,0.041120650700406686,0.8036454018227009,0.689766081871345,10.659340659340659,3420,0
race,African-American,0.7534246575342466,0.040106951871657755,0.78515625,0.6892735527809307,11.166666666666666,3524,1
race,African-American,0.7456647398843931,0.04021937842778794,0.7822784810126582,0.6990809368514675,10.534090909090908,3373,2
race,African-American,0.7305389221556886,0.04191895668374476,0.8013029315960912,0.6817777777777778,10.933333333333334,3375,3
race,African-American,0.7062146892655368,0.04682575416479064,0.8,0.6819360414866033,9.615384615384615,3471,4
race,Asian,1.0,0.0,0.8333333333333334,0.7777777777777778,inf,45,0
race,Asian,0.8571428571428571,0.018518518518518517,0.5714285714285714,0.8676470588235294,8.0,68,1
race,Asian,0.0,0.058823529411764705,1.0,0.8,3.0,40,2
race,Asian,0.6666666666666666,0.02702702702702703,0.8571428571428571,0.7450980392156863,12.0,51,3
race,Asian,,0.0,1.0,0.7894736842105263,inf,38,4
race,Caucasian,0.7372434017595307,0.04517950786607503,0.7714545454545455,0.6957057602490918,9.470982142857142,15416,0
race,Caucasian,0.7082611207394569,0.05100494899505101,0.7730890246159541,0.6940669106116049,8.27128712871287,15304,1
race,Caucasian,0.7155322862129145,0.04892446223111556,0.7734806629834254,0.6960129659643436,8.588957055214724,15425,2
race,Caucasian,0.6983173076923077,0.04993534268377599,0.7829254623575566,0.695378423990653,8.348605577689243,15406,3
race,Caucasian,0.6974272930648769,0.05475154336605607,0.7726941305140357,0.6889438406975987,7.835489833641405,15367,4
race,Indian,,0.0,1.0,0.9230769230769231,inf,13,0
race,Indian,,0.0,1.0,0.9285714285714286,inf,14,1
race,Indian,0.0,0.06666666666666667,1.0,0.7368421052631579,4.0,19,2
race,Indian,1.0,0.0,0.6,0.8636363636363636,inf,22,3
race,Indian,,0.0,,1.0,,11,4
race,Other,0.0,0.01486988847583643,1.0,0.8603896103896104,9.75,308,0
race,Other,0.5,0.025,0.8846153846153846,0.821917808219178,7.666666666666667,292,1
race,Other,0.7142857142857143,0.014598540145985401,0.8591549295774648,0.8115942028985508,15.25,345,2
race,Other,0.5714285714285714,0.01,0.9166666666666666,0.8649425287356322,14.666666666666666,348,3
race,Other,0.4444444444444444,0.01838235294117647,0.9069767441860465,0.8603174603174604,7.8,315,4
sex,female,0.7360621030345801,0.04415063156652107,0.7856115107913669,0.6853629274145171,10.219251336898395,13336,0
sex,female,0.7287128712871287,0.04833588145360461,0.775152749490835,0.6856035189741295,9.260340632603405,13413,1
sex,female,0.7212780421481985,0.047841306884480746,0.7786355101189234,0.6900396617526005,9.102439024390243,13363,2
sex,female,0.7213687150837989,0.04660670482420278,0.7867905056759545,0.6858869163061316,9.553884711779448,13406,3
sex,female,0.7231075697211156,0.04907036949870558,0.7771182971756038,0.6851464435146444,9.105515587529975,13384,4
sex,male,0.7282958199356914,0.04254783484390735,0.7608236536430835,0.7255369928400954,8.52662721893491,5866,0
sex,male,0.6816666666666666,0.04836667510762218,0.7777173913043478,0.7198134392813957,7.492146596858639,5789,1
sex,male,0.7152209492635024,0.04420731707317073,0.7703625853914872,0.7191299880116458,8.425287356321839,5839,2
sex,male,0.6591695501730104,0.04933633859253694,0.7886855241264559,0.7206694271911663,7.218274111675127,5796,3
sex,male,0.6387596899224807,0.05948429920857799,0.7832719621251972,0.7040220006875215,6.390557939914163,5818,4
