Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.973391812865497,inf,3420,0
race,African-American,,0.0,1.0,0.9790011350737798,inf,3524,1
race,African-American,,0.0,1.0,0.9762822413281945,inf,3373,2
race,African-American,,0.0,1.0,0.9768888888888889,inf,3375,3
race,African-American,,0.0,1.0,0.972054163065399,inf,3471,4
race,Asian,,0.0,1.0,0.9777777777777777,inf,45,0
race,Asian,,0.0,1.0,0.9852941176470589,inf,68,1
race,Asian,,0.0,,1.0,,40,2
race,Asian,,0.0,1.0,0.9803921568627451,inf,51,3
race,Asian,,0.0,,1.0,,38,4
race,Caucasian,,0.0,1.0,0.977815256875973,inf,15416,0
race,Caucasian,,0.0,1.0,0.975823314166231,inf,15304,1
race,Caucasian,,0.0,1.0,0.9776337115072934,inf,15425,2
race,Caucasian,,0.0,1.0,0.9769570297286772,inf,15406,3
race,Caucasian,,0.0,1.0,0.9759224311837054,inf,15367,4
race,Indian,,0.0,,1.0,,13,0
race,Indian,,0.0,,1.0,,14,1
race,Indian,,0.0,,1.0,,19,2
race,Indian,,0.0,,1.0,,22,3
race,Indian,,0.0,,1.0,,11,4
race,Other,,0.0,,1.0,,308,0
race,Other,,0.0,1.0,0.9863013698630136,inf,292,1
race,Other,,0.0,1.0,0.9942028985507246,inf,345,2
race,Other,,0.0,,1.0,,348,3
race,Other,,0.0,1.0,0.9936507936507937,inf,315,4
sex,female,,0.0,1.0,0.9738302339532093,inf,13336,0
sex,female,,0.0,1.0,0.9732349213449638,inf,13413,1
sex,female,,0.0,1.0,0.975080446007633,inf,13363,2
sex,female,,0.0,1.0,0.9750857824854543,inf,13406,3
sex,female,,0.0,1.0,0.9723550508069336,inf,13384,4
sex,male,,0.0,1.0,0.9855097170132969,inf,5866,0
sex,male,,0.0,1.0,0.9844532734496458,inf,5789,1
sex,male,,0.0,1.0,0.9839013529713992,inf,5839,2
sex,male,,0.0,1.0,0.9827467218771566,inf,5796,3
sex,male,,0.0,1.0,0.9829838432451015,inf,5818,4
