Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.04438356164383562,0.5238810453589666,0.10989010989010989,0.4871345029239766,0.005733944954128441,3420,0
race,African-American,0.038020519010259504,0.46202898550724636,0.14864864864864866,0.5445516458569807,0.006900878293601004,3524,1
race,African-American,0.0410641989589358,0.5034922563012451,0.1125,0.5057812036762526,0.005428226779252111,3373,2
race,African-American,0.037549407114624504,0.44313011828935395,0.2692307692307692,0.5608888888888889,0.014373716632443531,3375,3
race,African-American,0.040719196192490745,0.5376407824540604,0.20618556701030927,0.47162201094785366,0.011025358324145534,3471,4
race,Asian,0.0625,0.3409090909090909,0.0,0.6666666666666666,0.0,45,0
race,Asian,0.043478260869565216,0.3283582089552239,0.0,0.6764705882352942,0.0,68,1
race,Asian,0.0,0.425,,0.575,0.0,40,2
race,Asian,0.05555555555555555,0.34,0.0,0.6666666666666666,0.0,51,3
race,Asian,0.0,0.39473684210526316,,0.6052631578947368,0.0,38,4
race,Caucasian,0.03988103285115587,0.4711423643359427,0.13742690058479531,0.536261027503892,0.0066178541255984226,15416,0
race,Caucasian,0.04560862865947612,0.41475826972010177,0.2,0.590433873497125,0.011947045527930255,15304,1
race,Caucasian,0.038434062008858405,0.4462864721485411,0.22028985507246376,0.5587682333873581,0.011292719167904903,15425,2
race,Caucasian,0.04361770365618987,0.39625274068168226,0.23380281690140844,0.6074905880825653,0.013916834339369551,15406,3
race,Caucasian,0.0406168250034421,0.46462625858505036,0.20270270270270271,0.5416802238563155,0.010763490241102182,15367,4
race,Indian,0.0,0.23076923076923078,,0.7692307692307693,0.0,13,0
race,Indian,0.0,0.2857142857142857,,0.7142857142857143,0.0,14,1
race,Indian,0.0,0.3157894736842105,,0.6842105263157895,0.0,19,2
race,Indian,0.0,0.18181818181818182,,0.8181818181818182,0.0,22,3
race,Indian,0.0,0.45454545454545453,,0.5454545454545454,0.0,11,4
race,Other,0.0,0.2077922077922078,,0.7922077922077922,0.0,308,0
race,Other,0.06382978723404255,0.1527777777777778,0.25,0.8458904109589042,0.022727272727272728,292,1
race,Other,0.02631578947368421,0.21574344023323616,0.0,0.7855072463768116,0.0,345,2
race,Other,0.0,0.14080459770114942,,0.8591954022988506,0.0,348,3
race,Other,0.015625,0.2012779552715655,0.5,0.7968253968253968,0.015873015873015872,315,4
sex,female,0.04319315751960086,0.5168245168245168,0.1318051575931232,0.49325134973005397,0.0068533969010727055,13336,0
sex,female,0.04676145339652449,0.4622337980695572,0.17548746518105848,0.5454409900842466,0.010440835266821345,13413,1
sex,female,0.04057455945505701,0.49723714504988487,0.17717717717717718,0.5107386066003143,0.009106343571538817,13363,2
sex,female,0.04377271225635943,0.44285495716034273,0.20658682634730538,0.5630314784424885,0.01191915702193816,13406,3
sex,female,0.043299261783077796,0.5178269555862917,0.17567567567567569,0.4916317991631799,0.009645347974476925,13384,4
sex,male,0.032314410480349345,0.3833246843106729,0.12941176470588237,0.6203545857483805,0.004963898916967509,5866,0
sex,male,0.035430988894764676,0.3200561502017898,0.25555555555555554,0.6809466229055104,0.012609649122807017,5789,1
sex,male,0.03278688524590164,0.34917319408181025,0.2765957446808511,0.6519952046583319,0.01296111665004985,5839,2
sex,male,0.03670242800677583,0.29950842696629215,0.35,0.6996204278812974,0.020515826494724502,5796,3
sex,male,0.03099361896080219,0.3717433117677916,0.31313131313131315,0.6292540391887247,0.01458137347130762,5818,4
