Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.6573426573426573,0.015909090909090907,0.7808857808857809,0.890567113137646,6.836734693877551,3509,0
race,African-American,0.6268656716417911,0.016914749661705007,0.8051044083526682,0.8827871272512547,6.94,3387,1
race,African-American,0.6335403726708074,0.020054384772263765,0.782051282051282,0.875366568914956,6.203389830508475,3410,2
race,African-American,0.6153846153846154,0.02003338898163606,0.7782909930715936,0.8841890315052509,5.616666666666666,3428,3
race,African-American,0.71875,0.012040133779264214,0.7904328018223234,0.8883056284631088,9.63888888888889,3429,4
race,Asian,,0.0,1.0,0.9347826086956522,inf,46,0
race,Asian,,0.0,1.0,0.9772727272727273,inf,44,1
race,Asian,1.0,0.0,0.6666666666666666,0.96,inf,50,2
race,Asian,0.0,0.022727272727272728,1.0,0.9347826086956522,2.0,46,3
race,Asian,0.0,0.017857142857142856,,0.9821428571428571,0.0,56,4
race,Caucasian,0.6277173913043478,0.009766181921870544,0.8202334630350194,0.9222229478221119,7.693430656934306,15313,0
race,Caucasian,0.5898203592814372,0.009608640763080377,0.835559265442404,0.9263716356107661,7.306569343065694,15456,1
race,Caucasian,0.5796344647519582,0.011411964842642472,0.8251968503937008,0.9213811939133828,6.509316770186335,15378,2
race,Caucasian,0.6130030959752322,0.008809020436927413,0.8323454699407282,0.9279162058421703,7.864,15371,3
race,Caucasian,0.5635838150289018,0.010657068247582752,0.8415922014622258,0.9229220779220779,6.860927152317881,15400,4
race,Indian,,0.0,,1.0,,19,0
race,Indian,,0.0,,1.0,,15,1
race,Indian,,0.0,1.0,0.8947368421052632,inf,19,2
race,Indian,,0.0,1.0,0.9333333333333333,inf,15,3
race,Indian,,0.0,,1.0,,11,4
race,Other,1.0,0.0,0.8333333333333334,0.9841269841269841,inf,315,0
race,Other,0.6666666666666666,0.0035087719298245615,0.8666666666666667,0.9533333333333334,13.0,300,1
race,Other,0.5,0.0060790273556231,0.875,0.9536231884057971,7.0,345,2
race,Other,0.5,0.003067484662576687,0.9375,0.9532163742690059,15.0,342,3
race,Other,,0.0,1.0,0.9607843137254902,inf,306,4
sex,female,0.6265560165975104,0.015109544195416772,0.7905686546463245,0.9011606140022463,6.333333333333333,13355,0
sex,female,0.6013824884792627,0.014309346567411084,0.8063798219584569,0.9062360470308082,6.283236994219653,13438,1
sex,female,0.5897435897435898,0.01740003346160281,0.7910552061495457,0.8998879342547628,5.4423076923076925,13385,2
sex,female,0.6225165562913907,0.014258317351788544,0.7924944812362031,0.9065308568004793,6.298245614035087,13352,3
sex,female,0.5986394557823129,0.014718110760019956,0.8038632986627043,0.9058480406820222,6.112994350282486,13372,4
sex,male,0.8,0.0010779734099892202,0.9145907473309609,0.9550196682059175,42.833333333333336,5847,0
sex,male,0.5945945945945946,0.0027437351381013352,0.9259259259259259,0.9496877168632893,18.333333333333332,5764,1
sex,male,0.6666666666666666,0.0025505556567680817,0.9146341463414634,0.9460202853704659,21.428571428571427,5817,2
sex,male,0.4482758620689655,0.0028694404591104736,0.9525547445255474,0.9526495726495726,16.3125,5850,3
sex,male,0.6764705882352942,0.002002184200946487,0.9315476190476191,0.94442538593482,28.454545454545453,5830,4
