Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.9400584795321637,inf,3420,0
race,African-American,,0.0,1.0,0.9293416572077186,inf,3524,1
race,African-American,,0.0,1.0,0.9318114438185592,inf,3373,2
race,African-American,,0.0,1.0,0.9342222222222222,inf,3375,3
race,African-American,,0.0,1.0,0.9366176894266782,inf,3471,4
race,Asian,,0.0,1.0,0.9333333333333333,inf,45,0
race,Asian,,0.0,1.0,0.9558823529411765,inf,68,1
race,Asian,,0.0,1.0,0.95,inf,40,2
race,Asian,,0.0,1.0,0.9215686274509803,inf,51,3
race,Asian,,0.0,1.0,0.9736842105263158,inf,38,4
race,Caucasian,,0.0,1.0,0.9292942397509082,inf,15416,0
race,Caucasian,,0.0,1.0,0.9328933612127548,inf,15304,1
race,Caucasian,,0.0,1.0,0.9294003241491086,inf,15425,2
race,Caucasian,,0.0,1.0,0.9280799688433078,inf,15406,3
race,Caucasian,,0.0,1.0,0.9312162425977745,inf,15367,4
race,Indian,,0.0,,1.0,,13,0
race,Indian,,0.0,,1.0,,14,1
race,Indian,,0.0,1.0,0.8947368421052632,inf,19,2
race,Indian,,0.0,1.0,0.9545454545454546,inf,22,3
race,Indian,,0.0,,1.0,,11,4
race,Other,,0.0,1.0,0.9935064935064936,inf,308,0
race,Other,,0.0,1.0,0.976027397260274,inf,292,1
race,Other,,0.0,1.0,0.9826086956521739,inf,345,2
race,Other,,0.0,1.0,0.9798850574712644,inf,348,3
race,Other,,0.0,1.0,0.9714285714285714,inf,315,4
sex,female,,0.0,1.0,0.9308638272345531,inf,13336,0
sex,female,,0.0,1.0,0.931335271751286,inf,13413,1
sex,female,,0.0,1.0,0.9284591783282197,inf,13363,2
sex,female,,0.0,1.0,0.9241384454721766,inf,13406,3
sex,female,,0.0,1.0,0.9311864913329349,inf,13384,4
sex,male,,0.0,1.0,0.9355608591885441,inf,5866,0
sex,male,,0.0,1.0,0.9369493867680083,inf,5789,1
sex,male,,0.0,1.0,0.9361191984928926,inf,5839,2
sex,male,,0.0,1.0,0.9439268461007592,inf,5796,3
sex,male,,0.0,1.0,0.9370917841182537,inf,5818,4
