Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,0.10134310134310134,0.4578538102643857,0.1902439024390244,0.558187134502924,0.026494565217391304,3420,0
race,African-American,0.11292200232828871,0.46534351145038166,0.22088353413654618,0.5519296254256527,0.03608923884514436,3524,1
race,African-American,0.10753945061367622,0.48584155265669743,0.2,0.5336495701156241,0.030124426981008513,3373,2
race,African-American,0.1080737444373808,0.4449730415477323,0.23423423423423423,0.5688888888888889,0.03706343549536707,3375,3
race,African-American,0.10460251046025104,0.46078129806213475,0.20454545454545456,0.5554595217516566,0.030040053404539385,3471,4
race,Asian,0.06666666666666667,0.3333333333333333,0.6666666666666666,0.6444444444444445,0.14285714285714285,45,0
race,Asian,0.125,0.3230769230769231,0.0,0.6911764705882353,0.0,68,1
race,Asian,0.08333333333333333,0.2894736842105263,0.5,0.7,0.09090909090909091,40,2
race,Asian,0.047619047619047616,0.425531914893617,0.75,0.5490196078431373,0.15,51,3
race,Asian,0.09090909090909091,0.2702702702702703,0.0,0.7368421052631579,0.0,38,4
race,Caucasian,0.11372867587327376,0.4569314533016892,0.22935779816513763,0.5591593149974053,0.03819126183929117,15416,0
race,Caucasian,0.10704960835509138,0.4551376339567136,0.24148003894839337,0.5592002090956613,0.03816558941212681,15304,1
race,Caucasian,0.11196961760083814,0.47300502232142855,0.21487603305785125,0.5452188006482982,0.034508184633534875,15425,2
race,Caucasian,0.114934522151017,0.4443278780248986,0.25541516245487367,0.5692587303647929,0.04454588383440894,15406,3
race,Caucasian,0.11011945626802142,0.45290006988120196,0.2412488174077578,0.5616580985228086,0.039345779972226505,15367,4
race,Indian,0.0,0.15384615384615385,,0.8461538461538461,0.0,13,0
race,Indian,0.0,0.21428571428571427,,0.7857142857142857,0.0,14,1
race,Indian,0.14285714285714285,0.35294117647058826,0.5,0.631578947368421,0.16666666666666666,19,2
race,Indian,0.0,0.3333333333333333,1.0,0.6363636363636364,0.14285714285714285,22,3
race,Indian,0.0,0.36363636363636365,,0.6363636363636364,0.0,11,4
race,Other,0.028985507246376812,0.21895424836601307,0.0,0.7824675324675324,0.0,308,0
race,Other,0.05555555555555555,0.17894736842105263,0.5714285714285714,0.8116438356164384,0.0784313725490196,292,1
race,Other,0.060240963855421686,0.23008849557522124,0.16666666666666666,0.7710144927536232,0.01282051282051282,345,2
race,Other,0.04285714285714286,0.19648093841642228,0.5714285714285714,0.7959770114942529,0.05970149253731343,348,3
race,Other,0.05555555555555555,0.2222222222222222,0.5555555555555556,0.7682539682539683,0.07352941176470588,315,4
sex,female,0.11253516723976242,0.4573868213307556,0.21908893709327548,0.5590881823635273,0.03557590700951039,13336,0
sex,female,0.109544967059905,0.46525776496958055,0.22366992399565688,0.5513307984790875,0.03544390915347557,13413,1
sex,female,0.11344410876132931,0.4730394132344644,0.21443514644351463,0.5454613484995884,0.0349292894871358,13363,2
sex,female,0.12192040429564119,0.44878521268867544,0.24090462143559488,0.5669849321199463,0.044064748201438846,13406,3
sex,female,0.1076995012468828,0.4593597047259889,0.249728555917481,0.5550657501494322,0.04017467248908297,13384,4
sex,male,0.10656342182890856,0.44150874635568516,0.23544973544973544,0.5717695192635527,0.03673132480396203,5866,0
sex,male,0.1035700274617497,0.4212758112094395,0.27671232876712326,0.5878390050095008,0.044201312910284465,5789,1
sex,male,0.10427712972781902,0.46359312111233075,0.20911528150134048,0.5526631272478164,0.030781373322809787,5839,2
sex,male,0.09018673023440604,0.4185706452202522,0.30153846153846153,0.587991718426501,0.04279475982532751,5796,3
sex,male,0.11077274457556148,0.4284666177549523,0.20491803278688525,0.5855964248882778,0.03210616438356165,5818,4
