Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.9935672514619883,inf,3420,0
race,African-American,,0.0,1.0,0.9957434733257662,inf,3524,1
race,African-American,,0.0,1.0,0.9934776163652534,inf,3373,2
race,African-American,,0.0,1.0,0.9934814814814815,inf,3375,3
race,African-American,,0.0,1.0,0.9913569576490925,inf,3471,4
race,Asian,,0.0,1.0,0.9777777777777777,inf,45,0
race,Asian,,0.0,,1.0,,68,1
race,Asian,,0.0,,1.0,,40,2
race,Asian,,0.0,,1.0,,51,3
race,Asian,,0.0,,1.0,,38,4
race,Caucasian,,0.0,1.0,0.9939673066943435,inf,15416,0
race,Caucasian,,0.0,1.0,0.9929430214323053,inf,15304,1
race,Caucasian,,0.0,1.0,0.9943598055105348,inf,15425,2
race,Caucasian,,0.0,1.0,0.9929897442554849,inf,15406,3
race,Caucasian,,0.0,1.0,0.9941432940717121,inf,15367,4
race,Indian,,0.0,,1.0,,13,0
race,Indian,,0.0,,1.0,,14,1
race,Indian,,0.0,,1.0,,19,2
race,Indian,,0.0,,1.0,,22,3
race,Indian,,0.0,,1.0,,11,4
race,Other,,0.0,,1.0,,308,0
race,Other,,0.0,1.0,0.9965753424657534,inf,292,1
race,Other,,0.0,,1.0,,345,2
race,Other,,0.0,,1.0,,348,3
race,Other,,0.0,1.0,0.9968253968253968,inf,315,4
sex,female,,0.0,1.0,0.9929514097180564,inf,13336,0
sex,female,,0.0,1.0,0.992469991799001,inf,13413,1
sex,female,,0.0,1.0,0.9939384868667216,inf,13363,2
sex,female,,0.0,1.0,0.9922422795763091,inf,13406,3
sex,female,,0.0,1.0,0.9926031081888822,inf,13384,4
sex,male,,0.0,1.0,0.9962495738152063,inf,5866,0
sex,male,,0.0,1.0,0.996026947659354,inf,5789,1
sex,male,,0.0,1.0,0.9952046583319062,inf,5839,2
sex,male,,0.0,1.0,0.9955141476880607,inf,5796,3
sex,male,,0.0,1.0,0.9962186318322448,inf,5818,4
