Attribute,Attribute Value,PPV,FPR,FNR,Accuracy,Treatment Equality,Individuals Evaluated On,fold_num
race,African-American,,0.0,1.0,0.9039192988258641,inf,6047,0
race,African-American,,0.0,1.0,0.8928744546776539,inf,6189,1
race,African-American,,0.0,1.0,0.895026729305038,inf,6173,2
race,African-American,,0.0,1.0,0.8907202900939509,inf,6067,3
race,African-American,,0.0,1.0,0.8924394663152693,inf,6071,4
race,Caucasian,,0.0,1.0,0.9376513954713007,inf,28485,0
race,Caucasian,,0.0,1.0,0.9347488713318285,inf,28352,1
race,Caucasian,,0.0,1.0,0.9348953738664032,inf,28339,2
race,Caucasian,,0.0,1.0,0.9336758031033391,inf,28421,3
race,Caucasian,,0.0,1.0,0.9323432343234324,inf,28482,4
race,Other,,0.0,1.0,0.9711286089238845,inf,762,0
race,Other,,0.0,1.0,0.9667553191489362,inf,752,1
race,Other,,0.0,1.0,0.9603072983354674,inf,781,2
race,Other,,0.0,1.0,0.9763975155279503,inf,805,3
race,Other,,0.0,1.0,0.9716216216216216,inf,740,4
sex,female,,0.0,1.0,0.9590879838190678,inf,10877,0
sex,female,,0.0,1.0,0.9575791330177295,inf,10773,1
sex,female,,0.0,1.0,0.9538745387453874,inf,10840,2
sex,female,,0.0,1.0,0.9561715677093089,inf,10678,3
sex,female,,0.0,1.0,0.954041057887923,inf,10814,4
sex,male,,0.0,1.0,0.9207928901994512,inf,24417,0
sex,male,,0.0,1.0,0.9151305057096248,inf,24520,1
sex,male,,0.0,1.0,0.9172289698605488,inf,24453,2
sex,male,,0.0,1.0,0.9147267926061344,inf,24615,3
sex,male,,0.0,1.0,0.9140487765023081,inf,24479,4
