,CART,EBM,Lasso Stumps,RiskSLIM,Performance Range,Arnold PSA
,,,,,,
General,0.735 (0.003),0.741 (0.003),0.739 (0.003),0.708 (0.002),0.033,0.686 (0.002)
,,,,,,
Violent,0.814 (0.002),0.817 (0.001),0.816 (0.001),0.791 (0.002),0.025,0.79 (0.003)
,,,,,,
Drug,0.711 (0.006),0.711 (0.013),0.715 (0.007),0.682 (0.007),0.033,0.657 (0.004)
,,,,,,
Property,0.776 (0.002),0.784 (0.002),0.782 (0.003),0.746 (0.002),0.038,0.71 (0.004)
,,,,,,
Felony,0.755 (0.003),0.764 (0.004),0.761 (0.004),0.731 (0.002),0.034,0.704 (0.004)
,,,,,,
Misdemeanor,0.708 (0.004),0.716 (0.004),0.712 (0.004),0.671 (0.003),0.046,0.678 (0.003)
