Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.0023399890724274215,0
race,African-American,1,0.013772176954161134,0
race,Caucasian,0,0.0028538125113510455,0
race,Caucasian,1,0.011026184453586094,0
race,Other,0,0.0010483762922565158,0
race,Other,1,0.0020195365816461567,0
sex,male,0,0.0028851198897770877,0
sex,male,1,0.010982839739467596,0
sex,female,0,0.0023594291078916723,0
sex,female,1,0.012013504968362924,0
race,Caucasian,1,0.009845060015201806,1
race,Caucasian,0,0.0025683788627652265,1
race,Other,1,0.0023016060330763696,1
race,Other,0,0.0012055155912504922,1
race,African-American,0,0.0021588803105202364,1
race,African-American,1,0.010097543991167425,1
sex,male,1,0.00998599620250872,1
sex,male,0,0.002585267599960133,1
sex,female,0,0.0021998250988699724,1
sex,female,1,0.00940760855948849,1
race,African-American,0,0.0025888502488665126,2
race,African-American,1,0.009479513600811559,2
race,Caucasian,0,0.0029242290401326793,2
race,Caucasian,1,0.012404186911779464,2
race,Other,0,0.0009322799331035988,2
race,Other,1,0.006063960324473951,2
sex,male,0,0.002911855436026328,2
sex,male,1,0.012512345985194387,2
sex,female,0,0.002620293707390223,2
sex,female,1,0.010673572620514384,2
race,Caucasian,0,0.0028699198021585755,3
race,Caucasian,1,0.011540384386128234,3
race,African-American,0,0.002383168283489088,3
race,African-American,1,0.010221891501193271,3
race,Other,0,0.000953981339890251,3
race,Other,1,0.00845567437404556,3
sex,male,0,0.002905005078915363,3
sex,male,1,0.01176154619484386,3
sex,female,0,0.0023642746209266395,3
sex,female,1,0.010324760886419395,3
race,Caucasian,0,0.0026053039453764267,4
race,Caucasian,1,0.011375456961243332,4
race,Other,0,0.0008490124563605675,4
race,Other,1,0.0005698876294666227,4
race,African-American,0,0.002305235333207276,4
race,African-American,1,0.008833287417169565,4
sex,female,0,0.002335490423895164,4
sex,female,1,0.010585053472153383,4
sex,male,0,0.0025941712529653537,4
sex,male,1,0.011100062669813955,4
