Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.11243952774928258,0
race,African-American,0,0.04536005869246931,0
race,Caucasian,0,0.04289291574449957,0
race,Caucasian,1,0.09961956961396348,0
race,Other,0,0.03030306255518742,0
race,Other,1,0.06332507351488711,0
sex,male,1,0.09851182287308916,0
sex,male,0,0.04336963477154739,0
sex,female,0,0.04227311999773215,0
sex,female,1,0.10798323106857331,0
race,Caucasian,1,0.10360764148358839,1
race,Caucasian,0,0.04277538370117821,1
race,Other,1,0.10260277870557644,1
race,Other,0,0.03248366456740214,1
race,African-American,0,0.04394336927880748,1
race,African-American,1,0.11951808937608811,1
sex,male,1,0.10492331655666316,1
sex,male,0,0.042886031104335365,1
sex,female,0,0.04245181480995931,1
sex,female,1,0.10852126057120697,1
race,African-American,0,0.04598901743663674,2
race,African-American,1,0.11166543940753655,2
race,Caucasian,0,0.04301398905269013,2
race,Caucasian,1,0.10410850889629146,2
race,Other,0,0.0301425396181449,2
race,Other,1,0.07820534146020407,2
sex,male,0,0.04341567748240299,2
sex,male,1,0.1011015051211443,2
sex,female,0,0.042877711548603654,2
sex,female,1,0.11510792686478873,2
race,Caucasian,0,0.043133490699768635,3
race,Caucasian,1,0.10166157929147658,3
race,African-American,0,0.045110569148659144,3
race,African-American,1,0.10780484156112323,3
race,Other,0,0.030307510215178864,3
race,Other,1,0.11342253380699703,3
sex,male,0,0.04325428225379202,3
sex,male,1,0.10052317571666768,3
sex,female,0,0.042994177694335334,3
sex,female,1,0.1083509325436948,3
race,Caucasian,0,0.04238706258520404,4
race,Caucasian,1,0.10082557870861122,4
race,Other,0,0.030529857676165815,4
race,Other,1,0.034667203092338214,4
race,African-American,0,0.044766687910938824,4
race,African-American,1,0.1060376637347732,4
sex,female,0,0.042425353429742595,4
sex,female,1,0.10288434942277981,4
sex,male,0,0.042594709718109476,4
sex,male,1,0.10053533760163288,4
