Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.0576475386038747,0
race,African-American,0,0.010649501212200933,0
race,Caucasian,0,0.008667280513665382,0
race,Caucasian,1,0.04284438367237355,0
race,Other,0,0.002699449860179992,0
race,Other,1,0.012923899721226118,0
sex,male,1,0.048529023234907445,0
sex,male,0,0.009832731112687544,0
sex,female,0,0.006705356434886572,0
sex,female,1,0.03589359917943049,0
race,Caucasian,1,0.041596446692472956,1
race,Caucasian,0,0.00811353932701318,1
race,Other,0,0.003575091210306296,1
race,Other,1,0.020241618928535602,1
race,African-American,0,0.009687242446579463,1
race,African-American,1,0.052349884588373134,1
sex,male,1,0.0478295750837563,1
sex,male,0,0.009170504699852247,1
sex,female,0,0.006322322811316832,1
sex,female,1,0.029879716408705136,1
race,African-American,0,0.00964214926874866,2
race,African-American,1,0.04694521583703789,2
race,Caucasian,0,0.008940558383298566,2
race,Caucasian,1,0.04212807828813714,2
race,Other,0,0.0031344547116675956,2
race,Other,1,0.0158059842677185,2
sex,male,0,0.00969075626467942,2
sex,male,1,0.04455233132794665,2
sex,female,0,0.007229477054737197,2
sex,female,1,0.03842123413461472,2
race,Caucasian,0,0.009119775286762557,3
race,Caucasian,1,0.04974496223840473,3
race,African-American,0,0.009802610726002305,3
race,African-American,1,0.04729445192779709,3
race,Other,0,0.003760277866907526,3
race,Other,1,0.02611864039250425,3
sex,male,0,0.009990580628912015,3
sex,male,1,0.053187404501073156,3
sex,female,0,0.007116381581264293,3
sex,female,1,0.037287932471580354,3
race,Caucasian,0,0.008823217918488536,4
race,Caucasian,1,0.044934920755955426,4
race,Other,0,0.003712879625623277,4
race,Other,1,0.012212975964624905,4
race,African-American,0,0.010073646543764317,4
race,African-American,1,0.05528282783685508,4
sex,female,0,0.006924093272350538,4
sex,female,1,0.0340349564340433,4
sex,male,0,0.009824274441108326,4
sex,male,1,0.05145353615260039,4
