Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.12052472829237008,0
race,African-American,0,0.048108690845459094,0
race,Caucasian,0,0.04266981605564388,0
race,Caucasian,1,0.11247144732296137,0
race,Other,0,0.026433087328655132,0
race,Other,1,0.04852858072643119,0
sex,male,1,0.11814554253082041,0
sex,male,0,0.04542398589480429,0
sex,female,0,0.03829774592798247,0
sex,female,1,0.10061050105956698,0
race,Caucasian,1,0.11397897899520697,1
race,Caucasian,0,0.04306448429345985,1
race,Other,0,0.028489796567746663,1
race,Other,1,0.0821333567523205,1
race,African-American,0,0.04650595363025498,1
race,African-American,1,0.12479479437901472,1
sex,male,1,0.12171257719576674,1
sex,male,0,0.04567831228534953,1
sex,female,0,0.03814084011663518,1
sex,female,1,0.09766925057304991,1
race,African-American,0,0.051532326225937834,2
race,African-American,1,0.12572655127779003,2
race,Caucasian,0,0.04754769950833184,2
race,Caucasian,1,0.12555369902458127,2
race,Other,0,0.02747949421336428,2
race,Other,1,0.08942224743258123,2
sex,male,0,0.04998209118974064,2
sex,male,1,0.12650764373686776,2
sex,female,0,0.042865006134990516,2
sex,female,1,0.12240183164105564,2
race,Caucasian,0,0.04357084006887548,3
race,Caucasian,1,0.12017582545261869,3
race,African-American,0,0.04733594981856944,3
race,African-American,1,0.1162113676072714,3
race,Other,0,0.026889974768722492,3
race,Other,1,0.12001959112286946,3
sex,male,0,0.04612164097730846,3
sex,male,1,0.12422592982778123,3
sex,female,0,0.038621084202455074,3
sex,female,1,0.10549120462952061,3
race,Caucasian,0,0.043184022016811825,4
race,Caucasian,1,0.11319791549854241,4
race,Other,0,0.028417387859779087,4
race,Other,1,0.047289882843401375,4
race,African-American,0,0.047126319390899854,4
race,African-American,1,0.1157653395914004,4
sex,female,0,0.03933740532048157,4
sex,female,1,0.10275671808864872,4
sex,male,0,0.045424469669149606,4
sex,male,1,0.11711465594206616,4
