Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.15190644509178408,0
race,African-American,0,0.08104624048851918,0
race,Caucasian,0,0.07524796063049374,0
race,Caucasian,1,0.15598739940544679,0
race,Other,0,0.05089109332914279,0
race,Other,1,0.13086309201130006,0
sex,male,1,0.1569106468007356,0
sex,male,0,0.07725056174658287,0
sex,female,0,0.0721551913306044,0
sex,female,1,0.15046539092155709,0
race,Caucasian,0,0.07528037150688122,1
race,Caucasian,1,0.150660926860883,1
race,Other,1,0.14291812959289155,1
race,Other,0,0.05772183341731241,1
race,African-American,0,0.07835000473055481,1
race,African-American,1,0.16962367674906648,1
sex,male,0,0.07667307424970532,1
sex,male,1,0.15775789222346448,1
sex,female,0,0.07260897374204353,1
sex,female,1,0.14334445793654996,1
race,African-American,0,0.08088425186589063,2
race,African-American,1,0.15622964460011157,2
race,Caucasian,0,0.07544664572339364,2
race,Caucasian,1,0.15834043035578163,2
race,Other,0,0.05816358167744133,2
race,Other,1,0.11593946049564721,2
sex,male,0,0.07722384054383385,2
sex,male,1,0.15939630192071239,2
sex,female,0,0.07322140134689305,2
sex,female,1,0.1534232302145066,2
race,Caucasian,0,0.07517346767770725,3
race,Caucasian,1,0.15623419485216677,3
race,African-American,0,0.08003819415918158,3
race,African-American,1,0.1569838624837871,3
race,Other,0,0.05314596732900752,3
race,Other,1,0.09768385981488073,3
sex,male,0,0.07699207698810007,3
sex,male,1,0.16132986549547051,3
sex,female,0,0.07205685009635401,3
sex,female,1,0.1417617911499919,3
race,Caucasian,0,0.07500055893957991,4
race,Caucasian,1,0.15932448756182374,4
race,Other,0,0.05682696002625601,4
race,Other,1,0.07910779411646612,4
race,African-American,0,0.08061685558223196,4
race,African-American,1,0.15765769872899701,4
sex,female,0,0.07335903067068736,4
sex,female,1,0.15400349629264817,4
sex,male,0,0.07656170448351499,4
sex,male,1,0.16003935633695068,4
