Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.00031611586660581196,0
race,African-American,1,0.012531667117595622,0
race,Caucasian,0,0.00031537745003008876,0
race,Caucasian,1,0.00564258108365249,0
race,Other,0,2.916466993166623e-05,0
sex,male,0,0.00034616064424808243,0
sex,male,1,0.008299979946170833,0
sex,female,0,0.0002253162537605931,0
sex,female,1,0.0027704042105524637,0
race,Caucasian,0,0.4621867417600791,1
race,Caucasian,1,0.8392637142517142,1
race,Other,0,0.45321973428855467,1
race,Other,1,0.9824195063184553,1
race,African-American,0,0.5098642231445253,1
race,African-American,1,0.8786360806744559,1
sex,male,0,0.47540934594968975,1
sex,male,1,0.8526423234082855,1
sex,female,0,0.45880718934191517,1
sex,female,1,0.8277744325217214,1
race,African-American,0,0.00039234910329443,2
race,African-American,1,0.0021611118705835443,2
race,Caucasian,0,0.000347312422434294,2
race,Caucasian,1,0.004059888019208612,2
race,Other,0,3.4044748259219344e-05,2
sex,male,0,0.0004301685403569934,2
sex,male,1,0.003923776688554602,2
sex,female,0,0.00016314503234639906,2
sex,female,1,0.0027440308909049563,2
race,Caucasian,0,0.0003349749949455629,3
race,Caucasian,1,0.0057791042998486,3
race,African-American,0,0.00027465470116335073,3
race,African-American,1,0.004291014205913296,3
race,Other,0,0.0012816071879918139,3
sex,male,0,0.0004287095861397714,3
sex,male,1,0.005704974802038499,3
sex,female,0,0.00015753658684943128,3
sex,female,1,0.004335029023865728,3
race,Caucasian,0,0.0004267005606607788,4
race,Caucasian,1,0.0049383098786675,4
race,Other,0,7.802698703231271e-05,4
race,Other,1,0.0037842061434682065,4
race,African-American,0,0.0003932729553085208,4
race,African-American,1,0.01483571923005608,4
sex,female,0,0.00021055350503275494,4
sex,female,1,0.0035230976499954366,4
sex,male,0,0.0005037919039172946,4
sex,male,1,0.007400857377068412,4
