Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.6551699884767815,0
race,African-American,1,0.8691830362560916,0
race,Caucasian,0,0.6320874676251331,0
race,Caucasian,1,0.8582320535244754,0
race,Other,0,0.5878990449616028,0
race,Other,1,0.6722326613866385,0
sex,male,0,0.6237899093297017,0
sex,male,1,0.8550375838062043,0
sex,female,0,0.6608025941083056,0
sex,female,1,0.867011171542342,0
race,Caucasian,0,0.6386462440181475,1
race,Caucasian,1,0.8630829968832731,1
race,Other,0,0.6088171019383751,1
race,Other,1,0.9256095886969946,1
race,African-American,0,0.6586541122717529,1
race,African-American,1,0.8904639389290179,1
sex,male,0,0.6294556931246224,1
sex,male,1,0.871040945479994,1
sex,female,0,0.6685985543285196,1
sex,female,1,0.8621207909796798,1
race,African-American,0,0.6575528207292675,2
race,African-American,1,0.8557243841227331,2
race,Caucasian,0,0.6358733105917705,2
race,Caucasian,1,0.8605431592698246,2
race,Other,0,0.5969657011636613,2
race,Other,1,0.7083759176793744,2
sex,male,0,0.6257261746905142,2
sex,male,1,0.8544882216785817,2
sex,female,0,0.6685647420743746,2
sex,female,1,0.8671450834096326,2
race,Caucasian,0,0.6421287675065003,3
race,Caucasian,1,0.867448517914098,3
race,African-American,0,0.6656063944378878,3
race,African-American,1,0.8701767697151809,3
race,Other,0,0.6021600046962949,3
race,Other,1,0.712815443345162,3
sex,male,0,0.6346860400239572,3
sex,male,1,0.8706043703933092,3
sex,female,0,0.6696088489576851,3
sex,female,1,0.8608328117266462,3
race,Caucasian,0,0.6396192833973695,4
race,Caucasian,1,0.8642579830572155,4
race,Other,0,0.6035264975813646,4
race,Other,1,0.8275505136746515,4
race,African-American,0,0.6692925554700302,4
race,African-American,1,0.8699705199588281,4
sex,female,0,0.6716858559111638,4
sex,female,1,0.8652890049641255,4
sex,male,0,0.6317657018403371,4
sex,male,1,0.8644496266777494,4
