Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.030822844752668697,0
race,African-American,1,0.18596787840157455,0
race,Caucasian,0,0.021654317386597684,0
race,Caucasian,1,0.15942253485958058,0
race,Other,0,0.015054686258575003,0
race,Other,1,0.21244240721818705,0
sex,male,0,0.026435034799694074,0
sex,male,1,0.16755071716796227,0
sex,female,0,0.015514363931765971,0
sex,female,1,0.16098602078472982,0
race,Caucasian,0,0.021344783818565527,1
race,Caucasian,1,0.15350368155642083,1
race,Other,0,0.01545231046685129,1
race,Other,1,0.20965669843897566,1
race,African-American,0,0.030053659325259677,1
race,African-American,1,0.16855728048958482,1
sex,male,0,0.026113303060373162,1
sex,male,1,0.1619124945494362,1
sex,female,0,0.015171527977096665,1
sex,female,1,0.14015885468270117,1
race,African-American,0,0.030884455977470422,2
race,African-American,1,0.16473577446810064,2
race,Caucasian,0,0.0217582401166665,2
race,Caucasian,1,0.14775155137984816,2
race,Other,0,0.015530298369421483,2
race,Other,1,0.1457225907698801,2
sex,male,0,0.025987623361425,2
sex,male,1,0.15387775591012456,2
sex,female,0,0.016911262333704765,2
sex,female,1,0.14491573202747646,2
race,Caucasian,0,0.02272679553082346,3
race,Caucasian,1,0.15791092825253034,3
race,African-American,0,0.03234403424832799,3
race,African-American,1,0.16053220107145189,3
race,Other,0,0.017787259551199683,3
race,Other,1,0.15481854598968223,3
sex,male,0,0.02727859734199374,3
sex,male,1,0.16586034343431477,3
sex,female,0,0.017415705113286585,3
sex,female,1,0.12381582832077423,3
race,Caucasian,0,0.02224308455323776,4
race,Caucasian,1,0.1474338409443972,4
race,Other,1,0.19101319415160584,4
race,Other,0,0.01850764091185293,4
race,African-American,0,0.030940590600104057,4
race,African-American,1,0.16010763193849178,4
sex,female,0,0.01710855586511966,4
sex,female,1,0.15136940939571955,4
sex,male,0,0.026606140873053435,4
sex,male,1,0.1511248200887799,4
