Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.00810806991252559,0
race,African-American,1,0.07735634262316897,0
race,Caucasian,0,0.003956877995432159,0
race,Caucasian,1,0.06523751085637014,0
race,Other,0,0.0012770583513551875,0
race,Other,1,0.02419582303566114,0
sex,male,0,0.005889445748196935,0
sex,male,1,0.0727240135679055,0
sex,female,0,0.0017173129730567904,0
sex,female,1,0.045208393392085156,0
race,Caucasian,0,0.004195992980793635,1
race,Caucasian,1,0.06602445007205177,1
race,Other,0,0.00215252484159469,1
race,Other,1,0.0743774717528284,1
race,African-American,0,0.007939382110413796,1
race,African-American,1,0.0765671552625652,1
sex,male,0,0.006225955198637621,1
sex,male,1,0.07602774446860508,1
sex,female,0,0.0016210583187127212,1
sex,female,1,0.03954144410379447,1
race,African-American,0,0.007116536513517415,2
race,African-American,1,0.07096201219005607,2
race,Caucasian,0,0.004069029478477308,2
race,Caucasian,1,0.06485839093997776,2
race,Other,0,0.0014941101436441338,2
race,Other,1,0.053503277751197696,2
sex,male,0,0.005664500742006385,2
sex,male,1,0.07074545205770078,2
sex,female,0,0.002006327294813801,2
sex,female,1,0.046989963288770864,2
race,Caucasian,0,0.004596751821882971,3
race,Caucasian,1,0.07253399787930434,3
race,African-American,0,0.008224997289899439,3
race,African-American,1,0.07626823738643602,3
race,Other,0,0.0023144500300204206,3
race,Other,1,0.027852665430882384,3
sex,male,0,0.0066144384142358455,3
sex,male,1,0.08152702907553858,3
sex,female,0,0.0018827495429354435,3
sex,female,1,0.03227318571315824,3
race,Caucasian,0,0.004431122342708532,4
race,Caucasian,1,0.05866391129299262,4
race,Other,1,0.05760890190743685,4
race,Other,0,0.0016778288534132562,4
race,African-American,0,0.00781898189768768,4
race,African-American,1,0.08233962438788142,4
sex,female,0,0.0021661461900769293,4
sex,female,1,0.04811809179791186,4
sex,male,0,0.006209223629264057,4
sex,male,1,0.06900891035994318,4
