Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.7558176494288189,0
race,African-American,0,0.6807429509156556,0
race,Caucasian,0,0.6800003767729629,0
race,Caucasian,1,0.757087384233457,0
race,Other,0,0.6127469160812787,0
race,Other,1,0.7371536759865973,0
sex,male,1,0.7579832125974575,0
sex,male,0,0.6842040806432941,0
sex,female,0,0.6658056719059097,0
sex,female,1,0.753852831459917,0
race,Caucasian,1,0.7511227182751168,1
race,Caucasian,0,0.6710565075420368,1
race,Other,1,0.7652997743337577,1
race,Other,0,0.6128355934020991,1
race,African-American,0,0.6645420499043518,1
race,African-American,1,0.7693046502465969,1
sex,male,1,0.756735760107009,1
sex,male,0,0.673883751171121,1
sex,female,0,0.6565916237981503,1
sex,female,1,0.7450745070556912,1
race,African-American,0,0.6717869369453195,2
race,African-American,1,0.757987366961666,2
race,Caucasian,0,0.6730441069455391,2
race,Caucasian,1,0.7559181701096632,2
race,Other,0,0.6126646328370623,2
race,Other,1,0.698079806977265,2
sex,male,0,0.6768077204120158,2
sex,male,1,0.7566691391636822,2
sex,female,0,0.6594281255385605,2
sex,female,1,0.7537899692244238,2
race,Caucasian,0,0.6724130897172472,3
race,Caucasian,1,0.755514167745055,3
race,African-American,0,0.6699582305404136,3
race,African-American,1,0.7646027825083598,3
race,Other,0,0.614544049179766,3
race,Other,1,0.6975951515681937,3
sex,male,0,0.6766516892974711,3
sex,male,1,0.7584116218316805,3
sex,female,0,0.6567318404602411,3
sex,female,1,0.750977335959911,3
race,Caucasian,0,0.6703213353973448,4
race,Caucasian,1,0.7559501790071768,4
race,Other,0,0.6073288719068383,4
race,Other,1,0.6625915694213176,4
race,African-American,0,0.6703815459049932,4
race,African-American,1,0.7515824837422539,4
sex,female,0,0.6565500357019285,4
sex,female,1,0.752900399856407,4
sex,male,0,0.6744114978209266,4
sex,male,1,0.7557262829897459,4
