Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.24390035499879048,0
race,African-American,0,0.13501367997079225,0
race,Caucasian,0,0.1277431370952744,0
race,Caucasian,1,0.238136956634135,0
race,Other,0,0.11192391212881042,0
race,Other,1,0.15616023937418375,0
sex,male,1,0.24055704501437444,0
sex,male,0,0.1285391231060825,0
sex,female,0,0.12873801574071222,0
sex,female,1,0.23281649135070975,0
race,Caucasian,1,0.23844020124079604,1
race,Caucasian,0,0.1294329040723571,1
race,Other,1,0.2149512501340425,1
race,Other,0,0.11429270712318688,1
race,African-American,0,0.13159689553108764,1
race,African-American,1,0.2522652625813907,1
sex,male,1,0.24457133634799216,1
sex,male,0,0.12967499476208078,1
sex,female,0,0.12895914126510435,1
sex,female,1,0.229903088985524,1
race,African-American,0,0.13204293238441484,2
race,African-American,1,0.2481759680195122,2
race,Caucasian,0,0.12928010271193147,2
race,Caucasian,1,0.23975956491592793,2
race,Other,0,0.10720970571000896,2
race,Other,1,0.21474037070569138,2
sex,male,0,0.12898566781032095,2
sex,male,1,0.24043064876544404,2
sex,female,0,0.12978521153953668,2
sex,female,1,0.24317111321212048,2
race,Caucasian,0,0.12940521999376967,3
race,Caucasian,1,0.24674459750316058,3
race,African-American,1,0.24313722347868186,3
race,African-American,0,0.13330878502968221,3
race,Other,0,0.1098177680860511,3
race,Other,1,0.23090571300571827,3
sex,male,0,0.1296855216733724,3
sex,male,1,0.24911118934891616,3
sex,female,0,0.12932683017403207,3
sex,female,1,0.23682076193493626,3
race,Caucasian,0,0.12870514861139373,4
race,Caucasian,1,0.24025210629658644,4
race,Other,0,0.11483467009184928,4
race,Other,1,0.15976203493425728,4
race,African-American,0,0.13542584175022016,4
race,African-American,1,0.2412457607065612,4
sex,female,0,0.13052675101577188,4
sex,female,1,0.23389158743049512,4
sex,male,0,0.12908633002927153,4
sex,male,1,0.2419103409126296,4
