Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.32009216910064037,0
race,African-American,0,0.21686066291117756,0
race,Caucasian,0,0.1995064389902641,0
race,Caucasian,1,0.31390820356121546,0
race,Other,0,0.14494076649720342,0
race,Other,1,0.23717263334377087,0
sex,male,1,0.3180348219223235,0
sex,male,0,0.2042346118997526,0
sex,female,0,0.19402620107225246,0
sex,female,1,0.30524795297161317,0
race,Caucasian,1,0.3137343905637299,1
race,Caucasian,0,0.2002912808218662,1
race,Other,1,0.2666916662163843,1
race,Other,0,0.15466234663239609,1
race,African-American,0,0.20798361755269834,1
race,African-American,1,0.3287128802891773,1
sex,male,1,0.32196489770852454,1
sex,male,0,0.20335910273007873,1
sex,female,0,0.19394204351830932,1
sex,female,1,0.30179586976048556,1
race,African-American,0,0.21189461529801518,2
race,African-American,1,0.3252209823988232,2
race,Caucasian,0,0.1998871548346288,2
race,Caucasian,1,0.31601413807732803,2
race,Other,0,0.15079912799906528,2
race,Other,1,0.23392444558014777,2
sex,male,0,0.20258178840237173,2
sex,male,1,0.3191000901020733,2
sex,female,0,0.1965144773356898,2
sex,female,1,0.31229049637652045,2
race,Caucasian,0,0.19945928772688243,3
race,Caucasian,1,0.3188281248766159,3
race,African-American,0,0.21397058951828588,3
race,African-American,1,0.3303324635747038,3
race,Other,0,0.153164099556424,3
race,Other,1,0.2248638345496722,3
sex,male,0,0.2051193271207672,3
sex,male,1,0.32598446575430634,3
sex,female,0,0.19077871708108549,3
sex,female,1,0.3055104707288353,3
race,Caucasian,0,0.19904834215815598,4
race,Caucasian,1,0.31734774239744173,4
race,Other,0,0.1502771796846635,4
race,Other,1,0.21206851643155702,4
race,African-American,0,0.21249985511904856,4
race,African-American,1,0.32343782757288553,4
sex,female,0,0.1953471488497384,4
sex,female,1,0.3116618351082637,4
sex,male,0,0.20230418043277146,4
sex,male,1,0.3200471228837147,4
