Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.24871072231383465,0
race,African-American,0,0.10629666115166067,0
race,Caucasian,0,0.09394923311950472,0
race,Caucasian,1,0.24248496674632697,0
race,Other,0,0.03771674782793463,0
race,Other,1,0.11407998258809504,0
sex,male,1,0.253996976424728,0
sex,male,0,0.1005064721913055,0
sex,female,0,0.081579452282418,0
sex,female,1,0.2135963644888705,0
race,Caucasian,1,0.23985844083823715,1
race,Caucasian,0,0.09348874835147465,1
race,Other,1,0.16939824031393236,1
race,Other,0,0.04529029513782432,1
race,African-American,0,0.0973688783708288,1
race,African-American,1,0.2577287847851681,1
sex,male,1,0.2576989485523471,1
sex,male,0,0.09868094237519995,1
sex,female,0,0.08017790612869342,1
sex,female,1,0.20535327842640566,1
race,African-American,0,0.1017390881736655,2
race,African-American,1,0.24963408815479338,2
race,Caucasian,0,0.09320678170946713,2
race,Caucasian,1,0.24410755523963437,2
race,Other,0,0.042589639331436474,2
race,Other,1,0.15525474679820453,2
sex,male,0,0.0980757779843165,2
sex,male,1,0.25244547975548515,2
sex,female,0,0.08305611295334708,2
sex,female,1,0.22421771752933578,2
race,Caucasian,0,0.0936515035972984,3
race,Caucasian,1,0.24795479378452245,3
race,African-American,0,0.10426742620246235,3
race,African-American,1,0.2573537770109496,3
race,Other,0,0.04344220676145363,3
race,Other,1,0.12393812050434877,3
sex,male,0,0.10088688687562321,3
sex,male,1,0.261587683794233,3
sex,female,0,0.07896838096440281,3
sex,female,1,0.21595874265379872,3
race,Caucasian,0,0.09289062894017432,4
race,Caucasian,1,0.2469236042377143,4
race,Other,0,0.04303057938405716,4
race,Other,1,0.10443647348788113,4
race,African-American,0,0.10216378393648723,4
race,African-American,1,0.25498642962904167,4
sex,female,0,0.08143359691091447,4
sex,female,1,0.22002058271107292,4
sex,male,0,0.09862185605927977,4
sex,male,1,0.25814442127515347,4
