Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,0,0.7750286769447358,0
race,African-American,1,0.8921215901365736,0
race,Caucasian,0,0.7393432387887816,0
race,Caucasian,1,0.8844879394603437,0
race,Other,0,0.6784880831899018,0
race,Other,1,0.9593558658092723,0
sex,male,0,0.7535723688056033,0
sex,male,1,0.8901947271912395,0
sex,female,0,0.722754234185668,0
sex,female,1,0.8698194391421867,0
race,Caucasian,0,0.7356088210212836,1
race,Caucasian,1,0.8837890435567451,1
race,Other,0,0.6901816729405207,1
race,Other,1,0.9569197852994603,1
race,African-American,0,0.769791185492976,1
race,African-American,1,0.8988473855313645,1
sex,male,0,0.7523772887897316,1
sex,male,1,0.8965463734795744,1
sex,female,0,0.7140820231140061,1
sex,female,1,0.8557382487025215,1
race,African-American,0,0.7693472129013491,2
race,African-American,1,0.890887409113037,2
race,Caucasian,0,0.7346818918173544,2
race,Caucasian,1,0.8809009653212595,2
race,Other,0,0.6786285749577428,2
race,Other,1,0.9257055454731026,2
sex,male,0,0.7516591509889815,2
sex,male,1,0.889791760067714,2
sex,female,0,0.7119569392040362,2
sex,female,1,0.8617070496104903,2
race,Caucasian,0,0.731540380079696,3
race,Caucasian,1,0.8784500446117801,3
race,African-American,1,0.8901524970187598,3
race,African-American,0,0.7683165036404255,3
race,Other,0,0.6741670707432488,3
sex,male,0,0.7455115790763853,3
sex,male,1,0.8838672883971854,3
sex,female,0,0.7161822266377367,3
sex,female,1,0.8663462151356215,3
race,Caucasian,0,0.7349140965490799,4
race,Caucasian,1,0.8873559831783706,4
race,Other,0,0.6762581530974476,4
race,Other,1,0.8603664134632335,4
race,African-American,0,0.7719261964097235,4
race,African-American,1,0.9041864652780185,4
sex,female,0,0.713857646673759,4
sex,female,1,0.8641513834048381,4
sex,male,0,0.7518193600475087,4
sex,male,1,0.89812878083681,4
