Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.19464754992323038,0
race,African-American,0,0.02571677368223304,0
race,Caucasian,0,0.016343074013817665,0
race,Caucasian,1,0.14880421392342844,0
race,Other,0,0.00675042242768475,0
race,Other,1,0.07360714516360067,0
sex,male,1,0.178310150767988,0
sex,male,0,0.02260541785952737,0
sex,female,0,0.00695322498536953,0
sex,female,1,0.07437268187469388,0
race,Caucasian,0,0.016463636742394233,1
race,Caucasian,1,0.14774033217494145,1
race,Other,0,0.007979152107329792,1
race,Other,1,0.1945138568174504,1
race,African-American,0,0.024969291551538087,1
race,African-American,1,0.18737527157534822,1
sex,male,0,0.022952322624010823,1
sex,male,1,0.17686301533421064,1
sex,female,0,0.006338944955031525,1
sex,female,1,0.07995314184674637,1
race,African-American,0,0.023840190213551056,2
race,African-American,1,0.1835900968578173,2
race,Caucasian,0,0.015994111403357495,2
race,Caucasian,1,0.14269253737627496,2
race,Other,0,0.007377062604235888,2
race,Other,1,0.10537401217838699,2
sex,male,0,0.021730258443461888,2
sex,male,1,0.16599431394289393,2
sex,female,0,0.0070764895380909555,2
sex,female,1,0.09414600289776305,2
race,Caucasian,0,0.017102283584347126,3
race,Caucasian,1,0.1594300362793491,3
race,African-American,0,0.026817844677421532,3
race,African-American,1,0.20011018944045106,3
race,Other,0,0.007591813910243973,3
race,Other,1,0.09554791413758384,3
sex,male,0,0.02372924551236692,3
sex,male,1,0.18940524036717574,3
sex,female,0,0.00698675271047096,3
sex,female,1,0.07703569997992735,3
race,Caucasian,0,0.01708746668596899,4
race,Caucasian,1,0.14211089509340047,4
race,Other,1,0.1109951892400696,4
race,Other,0,0.007855528415426999,4
race,African-American,0,0.027134640276837683,4
race,African-American,1,0.17903809618319286,4
sex,female,0,0.007450272326012337,4
sex,female,1,0.08367999984564632,4
sex,male,0,0.0237009879069728,4
sex,male,1,0.16833560110271698,4
