Attribute,Attribute Value,Label,Expected Score,fold_num
race,African-American,1,0.9124951946481161,0
race,African-American,0,0.7656519236921091,0
race,Caucasian,0,0.7383640031231223,0
race,Caucasian,1,0.8851464892100437,0
race,Other,0,0.6668176984614583,0
race,Other,1,0.9233375258320108,0
sex,male,1,0.9025908820624431,0
sex,male,0,0.7667836350336013,0
sex,female,0,0.6857425353804525,0
sex,female,1,0.8458888018359654,0
race,Caucasian,0,0.7403606854293036,1
race,Caucasian,1,0.8881025516540592,1
race,Other,0,0.677429238396837,1
race,Other,1,0.9352161466263511,1
race,African-American,0,0.7654771410860457,1
race,African-American,1,0.9079450551337277,1
sex,male,0,0.7702424810119229,1
sex,male,1,0.9048854348539765,1
sex,female,0,0.6845636234015751,1
sex,female,1,0.84576485135667,1
race,African-American,0,0.7701783644775987,2
race,African-American,1,0.912534844906922,2
race,Caucasian,0,0.7406120133800707,2
race,Caucasian,1,0.8874259984878164,2
race,Other,0,0.6745787764793476,2
race,Other,1,0.9164978350337519,2
sex,male,0,0.7687657969116729,2
sex,male,1,0.900500059160985,2
sex,female,0,0.6904410218093587,2
sex,female,1,0.8660608415154707,2
race,Caucasian,0,0.733730380225949,3
race,Caucasian,1,0.8872040338598123,3
race,African-American,0,0.7634738704251336,3
race,African-American,1,0.9077188312845857,3
race,Other,0,0.6737972956275553,3
race,Other,1,0.9115016675944247,3
sex,male,0,0.7634136622992908,3
sex,male,1,0.9024191974533107,3
sex,female,0,0.6797398370391358,3
sex,female,1,0.8479439494270966,3
race,Caucasian,0,0.7380676477675335,4
race,Caucasian,1,0.8863526494938206,4
race,Other,1,0.9316931063460431,4
race,Other,0,0.677030093468276,4
race,African-American,0,0.7667194257613256,4
race,African-American,1,0.9095066679240776,4
sex,female,0,0.6834255578895015,4
sex,female,1,0.8522839773868307,4
sex,male,0,0.7683508850412231,4
sex,male,1,0.9030060215428478,4
