Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7442493842787475,0
race,Caucasian,0.7488592650751862,0
race,Other,0.8234334203655352,0
sex,male,0.7445440541991653,0
sex,female,0.7621538727326993,0
race,Caucasian,0.7515517656940438,1
race,Other,0.7667106420404572,1
race,African-American,0.820193814452337,1
sex,male,0.7566335699657888,1
sex,female,0.7712015248313211,1
race,African-American,0.7772551189817377,2
race,Caucasian,0.7559885943134765,2
race,Other,0.7860584161397168,2
sex,male,0.7472069277929081,2
sex,female,0.788156504254272,2
race,Caucasian,0.7550787483065686,3
race,African-American,0.758128352220256,3
race,Other,0.7757461118116855,3
sex,male,0.751122848868528,3
sex,female,0.7717440454282559,3
race,Caucasian,0.7594531449349324,4
race,Other,0.547491382612026,4
race,African-American,0.7773332184848615,4
sex,female,0.7698871442292494,4
sex,male,0.7578613172556286,4
