Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7439096337071816,0
race,Caucasian,0.7490442800747463,0
race,Other,0.8247389033942558,0
sex,male,0.7445412369429389,0
sex,female,0.7625482641517165,0
race,Caucasian,0.7515314246065077,1
race,Other,0.7656112576956904,1
race,African-American,0.8202776787306115,1
sex,male,0.756649292391341,1
sex,female,0.77115591432266,1
race,African-American,0.7772130121989365,2
race,Caucasian,0.7560227618863014,2
race,Other,0.7860584161397169,2
sex,male,0.747248178984214,2
sex,female,0.7882184714122829,2
race,Caucasian,0.7550894570914263,3
race,African-American,0.7581215283622287,3
race,Other,0.7757461118116855,3
sex,male,0.7511056597446578,3
sex,female,0.7718161955004059,3
race,Caucasian,0.7594324505765562,4
race,Other,0.5486403676752203,4
race,African-American,0.7770737327188941,4
sex,female,0.769883496857181,4
sex,male,0.7577766647541473,4
