Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7305213760756724,1
race,Caucasian,0.7192709376307819,1
race,Other,0.6447454308093995,1
sex,male,0.7158965078029046,1
sex,female,0.7306948930394968,1
race,Caucasian,0.7250881934046671,2
race,Other,0.6724934036939314,2
race,African-American,0.7737077863583901,2
sex,male,0.7295398503782338,2
sex,female,0.7364626409924847,2
race,African-American,0.7489340968696615,3
race,Caucasian,0.7164820764514374,3
race,Other,0.7278681120144534,3
sex,male,0.7154827921257275,3
sex,female,0.734491585162221,3
race,Caucasian,0.7203571057555268,4
race,African-American,0.7329471787896294,4
race,Other,0.7642566904861985,4
sex,male,0.7204304813924995,4
sex,female,0.7292070502596819,4
race,Caucasian,0.722234626180148,5
race,Other,0.4915741095365761,5
race,African-American,0.728132133166803,5
sex,female,0.7398071148071148,5
sex,male,0.7152519247993161,5
