Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7396928017034137,0
race,Caucasian,0.7514051303772119,0
race,Other,0.8367330287206265,0
sex,male,0.746952702954612,0
sex,female,0.7622493904859888,0
race,Caucasian,0.7569299382828761,1
race,Other,0.7619832893579596,1
race,African-American,0.827241932608308,1
sex,male,0.7635832054642394,1
sex,female,0.7744000217650147,1
race,African-American,0.7677492120016361,2
race,Caucasian,0.7540863214834295,2
race,Other,0.7892201144233664,2
sex,male,0.7444266850345711,2
sex,female,0.786564099432804,2
race,Caucasian,0.7554381723743372,3
race,African-American,0.773048149142241,3
race,Other,0.8137873055905843,3
sex,male,0.7528557942580293,3
sex,female,0.7753569529885319,3
race,Caucasian,0.7575484285957302,4
race,Other,0.5645346610494064,4
race,African-American,0.774935397734614,4
sex,female,0.7688155767103135,4
sex,male,0.7562392551415944,4
