Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7939861025172206,0
race,Caucasian,0.7996563589896543,0
race,Other,0.719595864661654,0
sex,male,0.8020081668868003,0
sex,female,0.7872562943758976,0
race,Caucasian,0.8000092592387403,1
race,Other,0.8447456433726457,1
race,African-American,0.8159410993271753,1
sex,male,0.8077774498159151,1
sex,female,0.7863726690838483,1
race,African-American,0.7758274222777769,2
race,Caucasian,0.7878136271720717,2
race,Other,0.8950617283950617,2
sex,male,0.7837527846502227,2
sex,female,0.7952157997634199,2
race,Caucasian,0.8088309315781136,3
race,African-American,0.773384384694371,3
race,Other,0.8600210970464135,3
sex,male,0.8082944951138649,3
sex,female,0.7878417397734048,3
race,Caucasian,0.795397898914221,4
race,Other,0.6808491418247515,4
race,African-American,0.7977985805743183,4
sex,female,0.7904753318182995,4
sex,male,0.7969237728975526,4
