Attribute,Attribute Value,AUC,fold_num
race,African-American,0.8073547026065642,0
race,Caucasian,0.808843265066552,0
race,Other,0.7268327067669174,0
sex,male,0.8130001583739355,0
sex,female,0.7945119198863477,0
race,Caucasian,0.8101401888248794,1
race,Other,0.8627002288329519,1
race,African-American,0.8292276770441327,1
sex,male,0.8187116821737832,1
sex,female,0.7962318045806227,1
race,African-American,0.8002545142392434,2
race,Caucasian,0.808578709642142,2
race,Other,0.8360433604336043,2
sex,male,0.8023046009143525,2
sex,female,0.820541793965137,2
race,Caucasian,0.8168829750004665,3
race,African-American,0.7900482443511189,3
race,Other,0.8164556962025317,3
sex,male,0.8178427612752517,3
sex,female,0.7958748164906109,3
race,Caucasian,0.808098494550443,4
race,Other,0.6793134598012647,4
race,African-American,0.8150669165017049,4
sex,female,0.8019203109830396,4
sex,male,0.8111120484582112,4
