Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7684457849265763,0
race,Caucasian,0.7805816688894195,0
race,Other,0.7124999999999999,0
sex,male,0.7802580246226296,0
sex,female,0.7729045345165863,0
race,Caucasian,0.7801591519577895,1
race,Other,0.8232412134013964,1
race,African-American,0.7886646139810696,1
sex,male,0.7868305530225246,1
sex,female,0.765430520150068,1
race,African-American,0.7578520403809179,2
race,Caucasian,0.780677791273114,2
race,Other,0.8401084010840107,2
sex,male,0.770358515184455,2
sex,female,0.7951993816438657,2
race,Caucasian,0.7897076417084212,3
race,African-American,0.7609459804523452,3
race,Other,0.7664556962025316,3
sex,male,0.789446066525783,3
sex,female,0.7706829132802273,3
race,Caucasian,0.77926216998169,4
race,Other,0.7032068654019874,4
race,African-American,0.7759589182545799,4
sex,female,0.7744600032271534,4
sex,male,0.7799574528523261,4
