Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7958539512549915,0
race,Caucasian,0.8076271947321568,0
race,Other,0.7314849624060151,0
sex,male,0.8082168536440155,0
sex,female,0.7967416669535097,0
race,Caucasian,0.8077193459219798,1
race,Other,0.8649885583524027,1
race,African-American,0.8242747177557304,1
sex,male,0.816032664538447,1
sex,female,0.7926300316871289,1
race,African-American,0.7928886613153415,2
race,Caucasian,0.8059778659753084,2
race,Other,0.8616380608250527,2
sex,male,0.7989088868010976,2
sex,female,0.8182465408514655,2
race,Caucasian,0.8131712662179763,3
race,African-American,0.7859357937228015,3
race,Other,0.8251582278481012,3
sex,male,0.8129274197987065,3
sex,female,0.7959634999534964,3
race,Caucasian,0.8058730947519729,4
race,Other,0.6986901535682023,4
race,African-American,0.8105666117634021,4
sex,female,0.8007578199457421,4
sex,male,0.808095644463426,4
