Attribute,Attribute Value,AUC,fold_num
race,African-American,0.759756667345185,0
race,Caucasian,0.7722124480473997,0
race,Other,0.7674017694509498,0
sex,male,0.7718009009643987,0
sex,female,0.7659422627511615,0
race,Caucasian,0.7727755651949632,1
race,Other,0.8083029170005045,1
race,African-American,0.7613136264210925,1
sex,male,0.7758773832076924,1
sex,female,0.7584780363099154,1
race,African-American,0.7547830235905137,2
race,Caucasian,0.7777433789143697,2
race,Other,0.7806380417335474,2
sex,male,0.774443486310356,2
sex,female,0.7735316394713566,2
race,Caucasian,0.7767023421332077,3
race,African-American,0.7493910220119532,3
race,Other,0.7206002536282937,3
sex,male,0.7758441619991814,3
sex,female,0.7609572319343214,3
race,Caucasian,0.776479581352862,4
race,Other,0.6759317211948791,4
race,African-American,0.7566327479476076,4
sex,female,0.7730500858554554,4
sex,male,0.7718371859418515,4
