Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7634011877423993,0
race,Caucasian,0.7823682466264485,0
race,Other,0.74529989591465,0
sex,male,0.7806579095777203,0
sex,female,0.7747317922372626,0
race,Caucasian,0.7780215204903641,1
race,Other,0.8194753553517908,1
race,African-American,0.7764444208628425,1
sex,male,0.7838285178911001,1
sex,female,0.763791379229577,1
race,African-American,0.7595595290240494,2
race,Caucasian,0.782402825561439,2
race,Other,0.7604735152487963,2
sex,male,0.7789407964095441,2
sex,female,0.7790065261601633,2
race,Caucasian,0.7803447190316938,3
race,African-American,0.75841335732523,3
race,Other,0.7011835987036776,3
sex,male,0.7799676782045621,3
sex,female,0.7657230704560838,3
race,Caucasian,0.7835953253098505,4
race,Other,0.6717211948790897,4
race,African-American,0.7677607124138648,4
sex,female,0.7818568649568942,4
sex,male,0.7793274189412146,4
