Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7319087803104828,0
race,Caucasian,0.748106964063757,0
race,Other,0.6991933385376008,0
sex,male,0.7441683941683988,0
sex,female,0.7476761291495062,0
race,Caucasian,0.7420972402783933,1
race,Other,0.7880500905071368,1
race,African-American,0.7369031810003366,1
sex,male,0.7477206532506675,1
sex,female,0.7257665158788837,1
race,African-American,0.7372301008963296,2
race,Caucasian,0.7452593523097166,2
race,Other,0.7334069020866774,2
sex,male,0.7453604403414475,2
sex,female,0.7414341703331714,2
race,Caucasian,0.7466238572201973,3
race,African-American,0.7272325622672342,3
race,Other,0.6739326475975764,3
sex,male,0.7468470770055252,3
sex,female,0.7322768055358837,3
race,Caucasian,0.7475306006262453,4
race,Other,0.6461593172119489,4
race,African-American,0.7286733537988885,4
sex,female,0.7493981621591879,4
sex,male,0.7408820975068549,4
