Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7556135778991887,0
race,Caucasian,0.7772452487872309,0
race,Other,0.7565215977101223,0
sex,male,0.7733675920767432,0
sex,female,0.774021869207865,0
race,Caucasian,0.7749864254926194,1
race,Other,0.8161369773583786,1
race,African-American,0.7695243831688143,1
sex,male,0.7796573725529077,1
sex,female,0.7608985926699892,1
race,African-American,0.7559938601331506,2
race,Caucasian,0.7783438383513229,2
race,Other,0.7751605136436597,2
sex,male,0.7744385137157196,2
sex,female,0.7772026364483078,2
race,Caucasian,0.7773241869197378,3
race,African-American,0.7529339580203013,3
race,Other,0.712441876849373,3
sex,male,0.7757438252510911,3
sex,female,0.7645549698282952,3
race,Caucasian,0.7788796756740926,4
race,Other,0.6737695590327171,4
race,African-American,0.7595697402838932,4
sex,female,0.7796007114431323,4
sex,male,0.7725831798327739,4
