Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7129272616795115,0
race,Caucasian,0.7470898805721192,0
race,Other,0.7859166666666667,0
sex,male,0.7424521949156315,0
sex,female,0.7426157466680686,0
race,Caucasian,0.7420886597969155,1
race,Other,0.8417028743315508,1
race,African-American,0.7523444793384133,1
sex,male,0.7494367047197134,1
sex,female,0.7322543207198738,1
race,African-American,0.734336626725434,2
race,Caucasian,0.7526322061358541,2
race,Other,0.7423411065386374,2
sex,male,0.748950051426119,2
sex,female,0.753895016870129,2
race,Caucasian,0.7452602534624988,3
race,African-American,0.7283360997486924,3
race,Other,0.6694053708439898,3
sex,male,0.7461287779968967,3
sex,female,0.7344003766428449,3
race,Caucasian,0.752257709096761,4
race,Other,0.6048626373626373,4
race,African-American,0.7341515404882506,4
sex,female,0.7565803734101948,4
sex,male,0.7452839807575607,4
