Attribute,Attribute Value,AUC,fold_num
race,African-American,0.734962773239805,0
race,Caucasian,0.7554901175022541,0
race,Other,0.753,0
sex,male,0.7538286523898369,0
sex,female,0.7486078907904222,0
race,Caucasian,0.7527848505028635,1
race,Other,0.8095337566844919,1
race,African-American,0.7705051338300648,1
sex,male,0.7596625484933266,1
sex,female,0.7472000424766605,1
race,African-American,0.7344908275488597,2
race,Caucasian,0.7605234423829917,2
race,Other,0.7264898643499467,2
sex,male,0.7547874229814828,2
sex,female,0.7632029129356599,2
race,Caucasian,0.7549119398198805,3
race,African-American,0.7347880017638139,3
race,Other,0.626886189258312,3
sex,male,0.7546765970775453,3
sex,female,0.7435645189664011,3
race,Caucasian,0.7574091954399096,4
race,Other,0.5491483516483516,4
race,African-American,0.7454170075236216,4
sex,female,0.7561373979429438,4
sex,male,0.7534436042068626,4
