Attribute,Attribute Value,AUC,fold_num
race,African-American,0.8270310489060488,0
race,Caucasian,0.8109159404018765,0
race,Other,0.5886294855166451,0
sex,male,0.815191283904037,0
sex,female,0.8084425404630884,0
race,Caucasian,0.8067966146458211,1
race,Other,0.9578947368421054,1
race,African-American,0.8448088208320121,1
sex,male,0.820378123944534,1
sex,female,0.7988559433354043,1
race,African-American,0.7953781830769564,2
race,Caucasian,0.8176654143785216,2
race,Other,0.620457604306864,2
sex,male,0.8197078112184014,2
sex,female,0.7992086688558868,2
race,Caucasian,0.8200104158155328,3
race,African-American,0.8190952598576735,3
race,Other,0.61375,3
sex,male,0.832103987489115,3
sex,female,0.7940561864867409,3
race,Caucasian,0.8232854870585726,4
race,Other,0.808542413381123,4
race,African-American,0.8115355898456944,4
sex,female,0.79689967094228,4
sex,male,0.8327300880238171,4
