Attribute,Attribute Value,AUC,fold_num
race,African-American,0.8128157175032176,0
race,Caucasian,0.8030348402386646,0
race,Other,0.5287505404236922,0
sex,male,0.8071773145151373,0
sex,female,0.7992092414181455,0
race,Caucasian,0.8053323028424577,1
race,Other,0.9611842105263158,1
race,African-American,0.8465191507143179,1
sex,male,0.8255457562353566,1
sex,female,0.7881330877418685,1
race,African-American,0.7960077670323014,2
race,Caucasian,0.8030052663993057,2
race,Other,0.6433378196500673,2
sex,male,0.8063018785009706,2
sex,female,0.7913932812165057,2
race,Caucasian,0.8054252203044026,3
race,African-American,0.8016890961682028,3
race,Other,0.5843750000000001,3
sex,male,0.814079375606081,3
sex,female,0.786585846014378,3
race,Caucasian,0.7992302680578952,4
race,Other,0.7476851851851851,4
race,African-American,0.7855933023615951,4
sex,female,0.7588092270349169,4
sex,male,0.8138363668342664,4
