Attribute,Attribute Value,AUC,fold_num
race,African-American,0.8786276390721578,0
race,Caucasian,0.8746801666492635,0
race,Other,0.9580927547029242,0
sex,male,0.8745321262721512,0
sex,female,0.8718284003326612,0
race,Caucasian,0.864789561228543,1
race,Other,0.9849537037037037,1
race,African-American,0.8772501345371921,1
sex,male,0.8676936844483856,1
sex,female,0.8662733281947073,1
race,African-American,0.8716320230722822,2
race,Caucasian,0.8775515276184284,2
race,Other,0.9727672530446548,2
sex,male,0.8701094859495264,2
sex,female,0.8970803823885822,2
race,Caucasian,0.8828262318438492,3
race,African-American,0.8490198773571939,3
race,Other,0.9003562808872545,3
sex,male,0.8728350606016944,3
sex,female,0.8746772026029823,3
race,Caucasian,0.8780219521205922,4
race,Other,0.9537037037037037,4
race,African-American,0.8708838262540315,4
sex,female,0.9050764550516466,4
sex,male,0.8675352106964787,4
