Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6313894431677106,0
race,Caucasian,0.6425218901115016,0
race,Other,0.6302093214443812,0
sex,male,0.6300417605722386,0
sex,female,0.6561451711803781,0
race,Caucasian,0.6442666965289385,1
race,Other,0.71,1
race,African-American,0.6769957416562482,1
sex,male,0.6448911802416111,1
sex,female,0.644807002564387,1
race,African-American,0.6522850699059143,2
race,Caucasian,0.6495394974590596,2
race,Other,0.4882157316367843,2
sex,male,0.6358330306177329,2
sex,female,0.6708502729209113,2
race,Caucasian,0.6483903838604067,3
race,African-American,0.6687358029850977,3
race,Other,0.5820376806292299,3
sex,male,0.6410063004247939,3
sex,female,0.6643575312144249,3
race,Caucasian,0.6458086330984871,4
race,Other,0.6489145183175034,4
race,African-American,0.618765840401043,4
sex,female,0.6615049657827352,4
sex,male,0.6308268045107013,4
