Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6684039584959283,0
race,Caucasian,0.6817961462538673,0
race,Other,0.8255865427180167,0
sex,male,0.6774360814371706,0
sex,female,0.6959888605007666,0
race,Caucasian,0.6885162585424697,1
race,Other,0.8263333333333333,1
race,African-American,0.73780624694586,1
sex,male,0.694137809900612,1
sex,female,0.7057195224512163,1
race,African-American,0.7060123655864011,2
race,Caucasian,0.6908277111516533,2
race,Other,0.7142857142857143,2
sex,male,0.689339730846831,2
sex,female,0.7060434956222446,2
race,Caucasian,0.6930102615512672,3
race,African-American,0.7173206484093538,3
race,Other,0.6594110115236876,3
sex,male,0.6953942222384337,3
sex,female,0.7039510144792263,3
race,Caucasian,0.6933365338524196,4
race,Other,0.691061736770692,4
race,African-American,0.6862026334282484,4
sex,female,0.7145891431515228,4
sex,male,0.6859821188267361,4
