Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6772761087417835,0
race,Caucasian,0.6670408122942247,0
race,Other,0.7115086782376503,0
sex,male,0.66771126086693,0
sex,female,0.6750008649481194,0
race,Caucasian,0.6729678240818354,1
race,Other,0.8545966228893058,1
race,African-American,0.6969519080689252,1
sex,male,0.6758884954089468,1
sex,female,0.6862357612837358,1
race,African-American,0.7081540001999304,2
race,Caucasian,0.6796304154331632,2
race,Other,0.735767475378333,2
sex,male,0.6818073463766456,2
sex,female,0.6957746561814854,2
race,Caucasian,0.6865872161695911,3
race,African-American,0.7000039946187927,3
race,Other,0.7092234169653525,3
sex,male,0.6862578373038726,3
sex,female,0.6997197091676248,3
race,Caucasian,0.6846695664049373,4
race,Other,0.65646492434663,4
race,African-American,0.6826332037166584,4
sex,female,0.6993865647186962,4
sex,male,0.6796429171885331,4
