Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7135761307276298,0
race,Caucasian,0.7204464946343434,0
race,Other,0.6735391592534449,0
sex,male,0.7241578903053367,0
sex,female,0.7060291074575229,0
race,Caucasian,0.7163118352718532,1
race,Other,0.7804207402234637,1
race,African-American,0.7361236074045834,1
sex,male,0.7263272695036417,1
sex,female,0.7042714851463624,1
race,African-American,0.730428947510751,2
race,Caucasian,0.7230888021613,2
race,Other,0.7867131424799934,2
sex,male,0.7272544006959225,2
sex,female,0.7208020917121636,2
race,Caucasian,0.7276996704757082,3
race,African-American,0.7223235265347796,3
race,Other,0.7586550245098039,3
sex,male,0.7318119965992396,3
sex,female,0.7155844456656051,3
race,Caucasian,0.7211564627913496,4
race,Other,0.6518745102766561,4
race,African-American,0.7108357848745468,4
sex,female,0.7018209226609656,4
sex,male,0.7259149809414568,4
