Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7442140736688222,0
race,Caucasian,0.7562177098358308,0
race,Other,0.7120006977149835,0
sex,male,0.7595207716570589,0
sex,female,0.7382916242300791,0
race,Caucasian,0.7536893171553016,1
race,Other,0.8071025372439479,1
race,African-American,0.7801842673783199,1
sex,male,0.7665742054421557,1
sex,female,0.7351893297860894,1
race,African-American,0.7691517858453065,2
race,Caucasian,0.7599981399203009,2
race,Other,0.7879300387756786,2
sex,male,0.7623460064185252,2
sex,female,0.7609875349715411,2
race,Caucasian,0.7646964753435256,3
race,African-American,0.7588678065833273,3
race,Other,0.7160117953431373,3
sex,male,0.7665548052717273,3
sex,female,0.7554648851223131,3
race,Caucasian,0.7606383295878796,4
race,Other,0.7339973479597373,4
race,African-American,0.7489175287482179,4
sex,female,0.7400250109724077,4
sex,male,0.7658640893119315,4
