Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7279383302542447,0
race,Caucasian,0.7374749958970248,0
race,Other,0.6900186567164179,0
sex,male,0.7395702199720106,0
sex,female,0.7271132562010497,0
race,Caucasian,0.736088425078714,1
race,Other,0.7735830212234707,1
race,African-American,0.7426121401278034,1
sex,male,0.7446348889448895,1
sex,female,0.7235092542467634,1
race,African-American,0.7313964396651739,2
race,Caucasian,0.7410733479361974,2
race,Other,0.7069337149951718,2
sex,male,0.7420200214405773,2
sex,female,0.7355799275444357,2
race,Caucasian,0.746398703281424,3
race,African-American,0.736233930404593,3
race,Other,0.6580312369786053,3
sex,male,0.7450685591545968,3
sex,female,0.7431319209768169,3
race,Caucasian,0.7426603736399825,4
race,Other,0.6874280822878954,4
race,African-American,0.7210608185662095,4
sex,female,0.7382670595445444,4
sex,male,0.7394084894533769,4
