Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6738238714320025,0
race,Caucasian,0.703572447383625,0
race,Other,0.6777405594954597,0
sex,male,0.7003279219623832,0
sex,female,0.6984570094777778,0
race,Caucasian,0.7046806977852101,1
race,Other,0.7791793533420328,1
race,African-American,0.713487430856089,1
sex,male,0.7112085032391036,1
sex,female,0.700389236891033,1
race,African-American,0.7070713291183385,2
race,Caucasian,0.7066283054130534,2
race,Other,0.6524797329518359,2
sex,male,0.7071010764242346,2
sex,female,0.7099991987652996,2
race,Caucasian,0.7108670434271125,3
race,African-American,0.7073621639884283,3
race,Other,0.6483205128205128,3
sex,male,0.7083320025506923,3
sex,female,0.7185385435120571,3
race,Caucasian,0.7108947387335608,4
race,Other,0.6427911494361793,4
race,African-American,0.700460514859531,4
sex,female,0.7075020153035144,4
sex,male,0.7107883295151152,4
