Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6595446342278066,0
race,Caucasian,0.6651695385712887,0
race,Other,0.6130636170936592,0
sex,male,0.6649371076594307,0
sex,female,0.6668562514728076,0
race,Caucasian,0.6654972486920703,1
race,Other,0.7256234594751341,1
race,African-American,0.6818737134364223,1
sex,male,0.6739038257191056,1
sex,female,0.6609910356638843,1
race,African-American,0.6744050462216171,2
race,Caucasian,0.6703306779658487,2
race,Other,0.6003963996185027,2
sex,male,0.6740561309498184,2
sex,female,0.6682046096861916,2
race,Caucasian,0.673559059488509,3
race,African-American,0.6744110087813237,3
race,Other,0.5563333333333332,3
sex,male,0.673592525075069,3
sex,female,0.6769484472192991,3
race,Caucasian,0.670863639720239,4
race,Other,0.5911826021036672,4
race,African-American,0.6673622881355933,4
sex,female,0.6674355709231794,4
sex,male,0.6727127558045508,4
