Attribute,Attribute Value,AUC,fold_num
race,African-American,0.6878739170287416,0
race,Caucasian,0.7070017098016331,0
race,Other,0.6703216182974381,0
sex,male,0.7059514404672941,0
sex,female,0.7021738378816975,0
race,Caucasian,0.7099762362888382,1
race,Other,0.7449434536755112,1
race,African-American,0.7244240055877627,1
sex,male,0.7186118849311656,1
sex,female,0.7039411412524412,1
race,African-American,0.7118421869707161,2
race,Caucasian,0.7120562895887691,2
race,Other,0.688483547925608,2
sex,male,0.7126624000562014,2
sex,female,0.7151945538752525,2
race,Caucasian,0.7158936109881036,3
race,African-American,0.7107646629401597,3
race,Other,0.6288717948717949,3
sex,male,0.7129517004002455,3
sex,female,0.7228147822151733,3
race,Caucasian,0.7147917717076074,4
race,Other,0.6515801193973277,4
race,African-American,0.7060334194334804,4
sex,female,0.7111053841275441,4
sex,male,0.715521184293386,4
