Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7152699962327971,0
race,Caucasian,0.7910810122111624,0
race,Other,0.9974126778783958,0
sex,male,0.7779781405410071,0
sex,female,0.7886264620938123,0
race,Caucasian,0.7802520293024864,1
race,Other,0.980946123521682,1
race,African-American,0.7930992873836012,1
sex,male,0.7911627235105485,1
sex,female,0.7633544044201028,1
race,African-American,0.7815229681274334,2
race,Caucasian,0.7814755037785927,2
race,Other,0.9914874551971327,2
sex,male,0.7867582325497262,2
sex,female,0.7732879950451204,2
race,Caucasian,0.7960050719320604,4
race,Other,0.8743279569892473,4
race,African-American,0.7845751989660567,4
sex,female,0.7693592321365447,4
sex,male,0.8020873549743414,4
