Attribute,Attribute Value,AUC,fold_num
race,African-American,0.7933368600764663,0
race,Caucasian,0.7955249319621829,0
race,Other,0.9961190168175938,0
sex,male,0.7938065618853742,0
sex,female,0.7868604587614925,0
race,Caucasian,0.795525340442835,1
race,Other,0.9807271134472186,1
race,African-American,0.7926285029053591,1
sex,male,0.8003913197139682,1
sex,female,0.7798172967886698,1
race,African-American,0.784625210399952,2
race,Caucasian,0.7923003834808136,2
race,Other,0.9793906810035843,2
sex,male,0.7943621707625207,2
sex,female,0.7826129049203079,2
race,Caucasian,0.8122524702928986,4
race,Other,0.8528972520908005,4
race,African-American,0.8244282701857016,4
sex,female,0.7961895139555698,4
sex,male,0.819070027086913,4
