Attribute,Attribute Value,AUC,fold_num
race,African-American,0.8064444302247556,0
race,Caucasian,0.7842813222269573,0
race,Other,0.893638888888889,0
sex,male,0.7862041504666111,0
sex,female,0.7721688723036394,0
race,Caucasian,0.7834754923591528,1
race,Other,0.8986446231754542,1
race,African-American,0.7954543853196528,1
sex,male,0.7835866118311903,1
sex,female,0.7739690804486871,1
race,African-American,0.8042579199636973,2
race,Caucasian,0.7873780694437414,2
race,Other,0.8792952674897119,2
sex,male,0.7808314274543455,2
sex,female,0.7973961223665592,2
race,Caucasian,0.7876979921792576,3
race,African-American,0.7962437460002187,3
race,Other,0.8887237762237763,3
sex,male,0.7878921365478122,3
sex,female,0.7681595309754154,3
race,Caucasian,0.7798987083127482,4
race,Other,0.892791551882461,4
race,African-American,0.7919682134241521,4
sex,female,0.7764155422321756,4
sex,male,0.7798293940087301,4
