"recid_use","p_current_age","p_charge","p_jail30","p_prison","p_probation","p_juv_fel_count","p_felprop_violarrest","p_murder_arrest","p_felassault_arrest","p_misdemassault_arrest","p_famviol_arrest","p_sex_arrest","p_weapons_arrest","fail_appear_two_yr","fail_appear_two_plus","current_violent","current_violent20","pending_charge","prior_conviction_F","prior_conviction_M","violent_conviction","total_convictions","p_arrest","p_property","p_traffic","p_drug","p_dui","p_domestic","p_stalking","p_voyeurism","p_fraud","p_stealing","p_trespass","p_current_age18","p_current_age1929","p_current_age3039","p_current_age4049","p_current_age5059","p_current_age60plus","p_property0","p_property13","p_property46","p_property79","p_property10up","prior_conviction_M01","prior_conviction_M24","prior_conviction_M57","prior_conviction_M810","prior_conviction_M11up","p_charge0","p_charge13","p_charge45","p_charge67","p_charge810","p_charge11up","p_felprop_violarrest0","p_felprop_violarrest1","p_felprop_violarrest2","p_felprop_violarrest3","p_felprop_violarrest46","p_felprop_violarrest7up","total_convictions0","total_convictions1","total_convictions2","total_convictions3","total_convictions46","total_convictions7up"
1,22,5,1,1,2,0,4,0,1,2,0,0,0,NA,NA,0,0,1,3,1,8,4,18,5,0,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,0,0,0,0,NA,0,0,0,0,0,NA,0
-1,45,5,0,0,1,0,0,0,0,2,0,0,0,0,0,1,0,4,0,2,0,2,7,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,1,0,NA,0
-1,52,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,31,5,0,0,2,0,0,0,0,1,0,0,0,NA,NA,0,0,4,0,4,3,5,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0
-1,40,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,NA,NA,NA,NA,NA,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,54,5,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,1,5,0,5,6,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0
-1,31,5,0,0,0,0,0,0,0,0,0,0,0,NA,NA,0,0,1,0,1,0,1,8,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,1,0,0,NA,0
1,25,1,0,0,0,0,0,0,0,1,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,35,3,0,0,0,0,0,0,2,0,0,0,0,NA,NA,1,0,NA,NA,NA,NA,NA,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,0,1,0,0,0,0,1,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA
-1,28,5,1,1,1,2,0,0,2,1,0,0,0,NA,NA,0,0,12,5,5,3,5,15,0,0,3,6,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,NA,NA,NA,NA,0,0,1,0,0,0,0,1,0,0,0,NA,0,0,0,0,0,NA,0
