Problem,Performance,Model,Time
General,0.666,L2-Logistic,Two Year
General,0.666,L1-Logistic,Two Year
General,0.664,LinearSVM,Two Year
General,0.654,RF,Two Year
General,0.66,XGBoost,Two Year
Violent,0.681,L2-Logistic,Two Year
Violent,0.685,L1-Logistic,Two Year
Violent,0.67,LinearSVM,Two Year
Violent,0.674,RF,Two Year
Violent,0.676,XGBoost,Two Year
Drug,0.697,L2-Logistic,Two Year
Drug,0.698,L1-Logistic,Two Year
Drug,0.691,LinearSVM,Two Year
Drug,0.694,RF,Two Year
Drug,0.711,XGBoost,Two Year
Property,0.732,L2-Logistic,Two Year
Property,0.729,L1-Logistic,Two Year
Property,0.717,LinearSVM,Two Year
Property,0.724,RF,Two Year
Property,0.742,XGBoost,Two Year
Felony,0.64,L2-Logistic,Two Year
Felony,0.641,L1-Logistic,Two Year
Felony,0.624,LinearSVM,Two Year
Felony,0.646,RF,Two Year
Felony,0.645,XGBoost,Two Year
Misdemeanor,0.631,L2-Logistic,Two Year
Misdemeanor,0.635,L1-Logistic,Two Year
Misdemeanor,0.629,LinearSVM,Two Year
Misdemeanor,0.629,RF,Two Year
Misdemeanor,0.628,XGBoost,Two Year
General,0.627,L2-Logistic,Six Month
General,0.618,L1-Logistic,Six Month
General,0.613,LinearSVM,Six Month
General,0.613,RF,Six Month
General,0.61,XGBoost,Six Month
Violent,0.648,L2-Logistic,Six Month
Violent,0.667,L1-Logistic,Six Month
Violent,0.646,LinearSVM,Six Month
Violent,0.672,RF,Six Month
Violent,0.685,XGBoost,Six Month
Drug,0.679,L2-Logistic,Six Month
Drug,0.658,L1-Logistic,Six Month
Drug,0.641,LinearSVM,Six Month
Drug,0.633,RF,Six Month
Drug,0.695,XGBoost,Six Month
Property,0.709,L2-Logistic,Six Month
Property,0.715,L1-Logistic,Six Month
Property,0.663,LinearSVM,Six Month
Property,0.699,RF,Six Month
Property,0.715,XGBoost,Six Month
Felony,0.604,L2-Logistic,Six Month
Felony,0.602,L1-Logistic,Six Month
Felony,0.563,LinearSVM,Six Month
Felony,0.607,RF,Six Month
Felony,0.606,XGBoost,Six Month
Misdemeanor,0.603,L2-Logistic,Six Month
Misdemeanor,0.605,L1-Logistic,Six Month
Misdemeanor,0.582,LinearSVM,Six Month
Misdemeanor,0.576,RF,Six Month
Misdemeanor,0.577,XGBoost,Six Month
