Problem,Performance,Model,Time
General,0.735,L2-Logistic,Two Year
General,0.735,L1-Logistic,Two Year
General,0.735,LinearSVM,Two Year
General,0.743,RF,Two Year
General,0.749,XGBoost,Two Year
Violent,0.81,L2-Logistic,Two Year
Violent,0.81,L1-Logistic,Two Year
Violent,0.811,LinearSVM,Two Year
Violent,0.819,RF,Two Year
Violent,0.827,XGBoost,Two Year
Drug,0.692,L2-Logistic,Two Year
Drug,0.692,L1-Logistic,Two Year
Drug,0.694,LinearSVM,Two Year
Drug,0.697,RF,Two Year
Drug,0.71,XGBoost,Two Year
Property,0.791,L2-Logistic,Two Year
Property,0.793,L1-Logistic,Two Year
Property,0.796,LinearSVM,Two Year
Property,0.798,RF,Two Year
Property,0.808,XGBoost,Two Year
Felony,0.751,L2-Logistic,Two Year
Felony,0.751,L1-Logistic,Two Year
Felony,0.752,LinearSVM,Two Year
Felony,0.765,RF,Two Year
Felony,0.77,XGBoost,Two Year
Misdemeanor,0.71,L2-Logistic,Two Year
Misdemeanor,0.71,L1-Logistic,Two Year
Misdemeanor,0.71,LinearSVM,Two Year
Misdemeanor,0.719,RF,Two Year
Misdemeanor,0.726,XGBoost,Two Year
General,0.764,L2-Logistic,Six Month
General,0.764,L1-Logistic,Six Month
General,0.766,LinearSVM,Six Month
General,0.777,RF,Six Month
General,0.786,XGBoost,Six Month
Violent,0.867,L2-Logistic,Six Month
Violent,0.867,L1-Logistic,Six Month
Violent,0.866,LinearSVM,Six Month
Violent,0.876,RF,Six Month
Violent,0.881,XGBoost,Six Month
Drug,0.75,L2-Logistic,Six Month
Drug,0.75,L1-Logistic,Six Month
Drug,0.754,LinearSVM,Six Month
Drug,0.751,RF,Six Month
Drug,0.77,XGBoost,Six Month
Property,0.849,L2-Logistic,Six Month
Property,0.849,L1-Logistic,Six Month
Property,0.847,LinearSVM,Six Month
Property,0.855,RF,Six Month
Property,0.862,XGBoost,Six Month
Felony,0.79,L2-Logistic,Six Month
Felony,0.789,L1-Logistic,Six Month
Felony,0.787,LinearSVM,Six Month
Felony,0.809,RF,Six Month
Felony,0.815,XGBoost,Six Month
Misdemeanor,0.742,L2-Logistic,Six Month
Misdemeanor,0.742,L1-Logistic,Six Month
Misdemeanor,0.746,LinearSVM,Six Month
Misdemeanor,0.753,RF,Six Month
Misdemeanor,0.764,XGBoost,Six Month
